id;slug;round;venue;attendance;referee;home_team;away_team;home_score;away_score;home_formation;away_formation
14083269;mallorca-barcelona;23;Spotify Camp Nou;44301;Alejandro Quintero Gonzalez;Barcelona;Mallorca;3;0;4-3-3;4-2-3-1
14083292;elche-real-sociedad;23;Reale Arena;30187;Jose Luis Guzman Mansilla;Real Sociedad;Elche;3;1;4-4-2;3-1-4-2
