match_id;team;minute;value
14083257;Getafe;1.0;-6
14083257;Deportivo Alavés;2.0;16
14083257;Deportivo Alavés;3.0;15
14083257;Getafe;4.0;-11
14083257;Deportivo Alavés;5.0;3
14083257;Getafe;6.0;-5
14083257;Getafe;7.0;-11
14083257;Getafe;8.0;-45
14083257;Getafe;9.0;-23
14083257;Getafe;10.0;-32
14083257;Deportivo Alavés;11.0;48
14083257;Deportivo Alavés;12.0;3
14083257;Getafe;13.0;-55
14083257;Getafe;14.0;-29
14083257;Getafe;15.0;-13
14083257;Getafe;16.0;-7
14083257;Getafe;17.0;-19
14083257;Getafe;18.0;-8
14083257;Getafe;19.0;-6
14083257;Getafe;20.0;-10
14083257;Getafe;21.0;-3
14083257;Deportivo Alavés;22.0;3
14083257;Deportivo Alavés;23.0;7
14083257;Getafe;24.0;-11
14083257;Getafe;25.0;-19
14083257;Getafe;26.0;-8
14083257;Deportivo Alavés;27.0;17
14083257;Deportivo Alavés;28.0;11
14083257;Deportivo Alavés;29.0;32
14083257;Deportivo Alavés;30.0;30
14083257;Deportivo Alavés;31.0;85
14083257;Deportivo Alavés;32.0;58
14083257;Deportivo Alavés;33.0;100
14083257;Deportivo Alavés;34.0;62
14083257;Deportivo Alavés;35.0;33
14083257;Deportivo Alavés;36.0;19
14083257;Deportivo Alavés;37.0;54
14083257;Deportivo Alavés;38.0;21
14083257;Deportivo Alavés;39.0;11
14083257;Deportivo Alavés;40.0;21
14083257;Deportivo Alavés;41.0;30
14083257;Getafe;42.0;-36
14083257;Getafe;43.0;-25
14083257;Getafe;44.0;-12
14083257;Deportivo Alavés;45.0;10
14083257;Deportivo Alavés;45.5;13
14083257;Getafe;46.0;-3
14083257;Getafe;47.0;-5
14083257;Getafe;48.0;-6
14083257;Deportivo Alavés;49.0;8
14083257;Deportivo Alavés;50.0;15
14083257;Getafe;51.0;-40
14083257;Getafe;52.0;-15
14083257;Getafe;53.0;-48
14083257;Getafe;54.0;-21
14083257;Getafe;55.0;-5
14083257;Getafe;56.0;-25
14083257;Getafe;57.0;-2
14083257;Deportivo Alavés;58.0;16
14083257;Deportivo Alavés;59.0;27
14083257;Deportivo Alavés;60.0;8
14083257;Deportivo Alavés;61.0;6
14083257;Deportivo Alavés;62.0;5
14083257;Getafe;63.0;-37
14083257;Getafe;64.0;-23
14083257;Getafe;65.0;-12
14083257;Getafe;66.0;-5
14083257;Deportivo Alavés;67.0;22
14083257;Deportivo Alavés;68.0;4
14083257;Deportivo Alavés;69.0;10
14083257;Deportivo Alavés;70.0;14
14083257;Getafe;71.0;-9
14083257;Getafe;72.0;-50
14083257;Getafe;73.0;-39
14083257;Getafe;74.0;-30
14083257;Getafe;75.0;-39
14083257;Getafe;76.0;-14
14083257;Deportivo Alavés;77.0;17
