id;slug;round;venue;attendance;referee;home_team;away_team;home_score;away_score;home_formation;away_formation
14083257;deportivo-alaves-getafe;23;Estadio de Mendizorroza;15960;Juan Martinez Munuera;Deportivo Alavés;Getafe;0;2;4-4-2;5-3-2
14083260;levante-ud-athletic-club;23;San Mamés;46487;Alejandro Muñiz Ruiz;Athletic Club;Levante UD;4;2;4-2-3-1;4-2-3-1
14083263;atletico-madrid-real-betis;23;Riyadh Air Metropolitano;65210;Mateo Busquets Ferrer;Atlético Madrid;Real Betis;0;1;4-4-2;4-3-3
14083269;mallorca-barcelona;23;Spotify Camp Nou;44301;Alejandro Quintero Gonzalez;Barcelona;Mallorca;3;0;4-3-3;4-2-3-1
14083292;elche-real-sociedad;23;Reale Arena;30187;Jose Luis Guzman Mansilla;Real Sociedad;Elche;3;1;4-4-2;3-1-4-2
14083303;villarreal-espanyol;23;Estadio de la Ceramica;16825;Adrian Cordero Vega;Villarreal;Espanyol;4;1;4-4-2;4-2-3-1
14083315;girona-fc-sevilla;23;Ramón Sánchez Pizjuán;30384;Jesus Gil Manzano;Sevilla;Girona FC;1;1;5-3-2;4-2-3-1
14083327;real-madrid-valencia;23;Mestalla;47515;Javier Alberola Rojas;Valencia;Real Madrid;0;2;4-4-2;4-4-2
