league;season;id;name;short_name;match_name;first_name;last_name;team;nationality;type
73;2425;926zov9ym2r4gmmo2k3jyxxat;Jon Iñaki Aspiazu San Emeterio;Jon Aspiazu;Aspiazu;Jon Iñaki;Aspiazu San Emeterio;Athletic Club;Spain;assistant coach
73;2425;dbdq6fyl44p43la2s5q9suehh;Ernesto Valverde Tejedor;Ernesto Valverde;Ernesto Valverde;Ernesto;Valverde Tejedor;Athletic Club;Spain;coach
73;2425;4rzbm8llqtekdq9dk1vo8mw9h;Daniel Alberto Pendín Sánchez;Daniel Pendín;D. Pendín;Daniel Alberto;Pendín Sánchez;CA Osasuna;Argentina;assistant coach
73;2425;5v9hgzr9iyklszdcfw2o51r6d;Vicente Moreno Peris;Vicente Moreno;Vicente Moreno;Vicente;Moreno Peris;CA Osasuna;Spain;coach
73;2425;bvrig6xdcjx0mt5if97b97k0k;Ramón Alturo Pons;Ramon Alturo;Ramón Alturo;Ramón;Alturo Pons;CA Osasuna;Spain;assistant coach
73;2425;aqbancnlm0j6jicjabv4jeuqc;Alejandro Martínez López;Álex Martínez;Álex Martínez;Alejandro;Martínez López;CD Leganés;Spain;assistant coach
73;2425;dfjaduhy0txt0xudn96ghbeuh;Borja Jiménez Sáez;Borja Jiménez;Borja Jiménez;Borja;Jiménez Sáez;CD Leganés;Spain;coach
73;2425;5dipetqgrtvfknjkpiiz0cfdh;Nelson David Vivas;Nelson Vivas;N. Vivas;Nelson David;Vivas;Club Atlético de Madrid;Argentina;assistant coach
73;2425;7d1tqmoyzile2ltmxvf0jmdt6;Hernán Bonvicini;Hernán Bonvicini;H. Bonvicini;Hernán;Bonvicini;Club Atlético de Madrid;Argentina;assistant coach
73;2425;b50ny8f8cz813cd7t9kknif9x;Diego Pablo Simeone González;Diego Simeone;D. Simeone;Diego Pablo;Simeone González;Club Atlético de Madrid;Argentina;coach
73;2425;2kiaodquh4o2i5z2yotrbxivp;Eduardo Germán Coudet;Eduardo Coudet;E. Coudet;Eduardo Germán;Coudet;Deportivo Alavés;Argentina;coach
73;2425;4ajtwj6zfr1a8hnwnfa7fx5g5;Luis García Plaza;Luis García;Luis García;Luis;García Plaza;Deportivo Alavés;Spain;coach
73;2425;94te084lyqpx1vonnl4encl3p;Pedro Rostoll Rodríguez;Pedro Rostoll;Pedro Rostoll;Pedro;Rostoll Rodríguez;Deportivo Alavés;Spain;assistant coach
73;2425;e0mwy06fc9p7nr8vg7ox7e6s5;Patricio Andrés Graff;Patricio Graff;P. Graff;Patricio Andrés;Graff;Deportivo Alavés;Argentina;assistant coach
73;2425;6bgvxtaatjlnusg4cssxzthhx;Marcus Sorg;Marcus Sorg;M. Sorg;Marcus;Sorg;FC Barcelona;Germany;assistant coach
73;2425;75d79ehx97h0oj79vjaxb69jp;Heiko Westermann;Heiko Westermann;H. Westermann;Heiko;Westermann;FC Barcelona;Germany;assistant coach
73;2425;8l5of7q12agsw80s400vqj7x1;Toni Tapalović;Toni Tapalovic;T. Tapalović;Toni;Tapalović;FC Barcelona;Croatia;assistant coach
73;2425;ebm098y98ctdw0zs1l1kvnt62;Hans-Dieter Flick;Hansi Flick;H. Flick;Hans-Dieter;Flick;FC Barcelona;Germany;coach
73;2425;28kjxeavcr2ptz1d53gc3qhh;Patricio Moreno Ruiz;Patri Moreno;Patri;Patricio;Moreno Ruiz;Getafe CF;Spain;assistant coach
73;2425;b13nybopqc740af2uybp1pdcl;José Bordalás Jiménez;José Bordalás;José Bordalás;José;Bordalás Jiménez;Getafe CF;Spain;coach
73;2425;dtutivg2ui6g64m21axbynqol;Enrique Álvarez San Juan;Quique Álvarez;Quique Álvarez;Enrique;Álvarez San Juan;Girona FC;Spain;assistant coach
73;2425;ik61f0o3bzocvec2rjeyc34l;Salvador Fúnez Sardina;Salva Fúnez;Salva;Salvador;Fúnez Sardina;Girona FC;Spain;assistant coach
73;2425;jkox030vlb7xszen474w83px;Miguel Ángel Sánchez Muñoz;Míchel Sánchez;Míchel;Miguel Ángel;Sánchez Muñoz;Girona FC;Spain;coach
73;2425;176vudax6t7930w3zcaw0vj3e;Miguel Ángel Morro Muñoz;Miguel Morro;Miguel Morro;Miguel Ángel;Morro Muñoz;Rayo Vallecano de Madrid;Spain;coach
73;2425;26h5p70ffxotb1mv82ut6qx91;Iñigo Pérez Soto;Iñigo Pérez;Iñigo Pérez;Iñigo;Pérez Soto;Rayo Vallecano de Madrid;Spain;coach
73;2425;c6e4pa7mbdkwgnziumaqvhjx0;Óscar Antonio García Hermo;Óscar García;Óscar García;Óscar Antonio;García Hermo;Rayo Vallecano de Madrid;Spain;assistant coach
73;2425;d3rtgcyevphotz64z7ev536j9;Adrián López Álvarez;Adrián López;Adrián López;Adrián;López Álvarez;Rayo Vallecano de Madrid;Spain;assistant coach
73;2425;6ou7wr807q5vpe7wc1jxsngt1;Rubén Cousillas Fuse;Ruben Cousillas;R. Cousillas;Rubén;Cousillas Fuse;Real Betis Balompié;Argentina;assistant coach
73;2425;dazth1gr1i3s9s13b8ry48atx;Manuel Luis Pellegrini Ripamonti;Manuel Pellegrini;M. Pellegrini;Manuel Luis;Pellegrini Ripamonti;Real Betis Balompié;Chile;coach
73;2425;e2ntrys15j912zpqy0xb4lg45;Claudio Giráldez González;Claudio Giráldez;Claudio Giráldez;Claudio;Giráldez González;Real Club Celta de Vigo;Spain;coach
73;2425;ekb4spj71knd9zzmdb6y736ga;Roberto Fernández Martínez;Rober Fernández;Rober Fernández;Roberto;Fernández Martínez;Real Club Celta de Vigo;Spain;assistant coach
73;2425;8jf23dy5fv4tun6r8q5ops2j9;Bittor Alkiza Fernández;Bittor Alkiza;Bittor Alkiza;Bittor;Alkiza Fernández;Real Club Deportivo Mallorca;Spain;assistant coach
73;2425;f2i75nau3bjkt1i54farofmqd;Jagoba Arrasate Elustondo;Jagoba Arrasate;Jagoba Arrasate;Jagoba;Arrasate Elustondo;Real Club Deportivo Mallorca;Spain;coach
73;2425;b5sm6w6qxpifmvjlud7t9p2j8;Davide Ancelotti;Davide Ancelotti;D. Ancelotti;Davide;Ancelotti;Real Madrid CF;Italy;assistant coach
73;2425;pc8qy7gqbtpbkgefp4j3ws0l;Carlo Ancelotti;Carlo Ancelotti;C. Ancelotti;Carlo;Ancelotti;Real Madrid CF;Italy;coach
73;2425;2j3sfyq2qq34su1o7l8gri505;Jon Ansotegi Gorostola;Jon Ansotegi;Ansotegi;Jon;Ansotegi Gorostola;Real Sociedad de Fútbol;Spain;assistant coach
73;2425;2jamo9iu05llhonpiwg7il711;Mikel Labaka Zurriarain;Mikel Labaka;Labaka;Mikel;Labaka Zurriarain;Real Sociedad de Fútbol;Spain;assistant coach
73;2425;4hjnfl3z9hlmz2kwwycfy7xsl;Imanol Alguacil Barrenetxea;Imanol Alguacil;Imanol Alguacil;Imanol;Alguacil Barrenetxea;Real Sociedad de Fútbol;Spain;coach
73;2425;28prvbhijwwrdq1e5fwbjtped;Diego Martín Cocca Pera;Diego Cocca;D. Cocca;Diego Martín;Cocca Pera;Real Valladolid CF;Argentina;coach
73;2425;4983kq1d3a3n4lmeau2em221h;Marcelo Jesús Goux;Marcelo Goux;M. Goux;Marcelo Jesús;Goux;Real Valladolid CF;Argentina;assistant coach
73;2425;8080pnojsna05ptw43pqhv8b9;Álvaro Rubio Robres;Álvaro Rubio;Álvaro Rubio;Álvaro;Rubio Robres;Real Valladolid CF;Spain;coach
73;2425;8ecxknwozvf2ke0bxs8mz31n8;Víctor Cuadrillero Martínez;Victor Cuadrillero Martínez;Torchu;Víctor;Cuadrillero Martínez;Real Valladolid CF;Spain;assistant coach
73;2425;c61bqe3h99f7po1giy4oei7kl;Paulo César Pezzolano Suárez;Paulo Pezzolano;P. Pezzolano;Paulo César;Pezzolano Suárez;Real Valladolid CF;Uruguay;coach
73;2425;dwxt7ldzbq28wkojhwneq48ic;Camilo Speranza Borde;Camilo Speranza;C. Speranza;Camilo;Speranza Borde;Real Valladolid CF;Uruguay;assistant coach
73;2425;2e0sebn7a8mcnfa90kdn7ckb9;José Manuel González Álvarez;José Manuel González Álvarez;Manolo González;José Manuel;González Álvarez;Reial Club Deportiu Espanyol de Barcelona;Spain;coach
73;2425;cr11tcefxo20wg6662p3zjcpg;Gerard Garrido;Gerard Garrido;Gerard Garrido;Gerard;Garrido;Reial Club Deportiu Espanyol de Barcelona;Spain;assistant coach
73;2425;96i0mk8guux653m31brmffcnp;Luciano Martín Toscano;Luciano Martín Toscano;Luci Martín;Luciano;Martín Toscano;Sevilla FC;Spain;assistant coach
73;2425;bc797nbao8wet9yvflefvycx5;Francisco Javier García Pimienta;Francisco Javier García Pimienta;García Pimienta;Francisco Javier;García Pimienta;Sevilla FC;Spain;coach
73;2425;dbgwodtjsuulnminyfpr8im6t;Joaquín de Jesús Caparrós Camino;Joaquín Caparrós;Joaquín Caparrós;Joaquín;de Jesús Caparrós Camino;Sevilla FC;Spain;coach
73;2425;deu51dpoe1f0ks8bhzv421s0k;Albert Peris;Albert Peris;Albert Peris;Albert;Peris;Sevilla FC;Spain;assistant coach
73;2425;gfa5frpbmw5q46sfheuajv2s;Juan Díaz Quinta;Juan Diaz;Juan Díaz;Juan;Díaz Quinta;Sevilla FC;Spain;assistant coach
73;2425;1n4pynfmourvcg0vg2x7d6k7p;Domingo Cisma González;Domingo Cisma;Cisma;Domingo;Cisma González;UD Las Palmas;Spain;assistant coach
73;2425;4v2lxgx7zxxc461i1wzvnk79x;Luis Miguel Carrión Delgado;Luis Carrión;Luis Carrión;Luis Miguel;Carrión Delgado;UD Las Palmas;Spain;coach
73;2425;81i9jm08zfv7mht162vk3z6d;Raúl Espínola Jiménez;Raúl Espínola;Raúl Espínola;Raúl;Espínola Jiménez;UD Las Palmas;Spain;assistant coach
73;2425;93o5a2exmg7935ub5lc4rve8l;Diego Martínez Penas;Diego Martínez;Diego Martínez;Diego;Martínez Penas;UD Las Palmas;Spain;coach
73;2425;137r68lw0v87ka7rabttdho0l;Rubén Baraja Vegas;Rubén Baraja;Rubén Baraja;Rubén;Baraja Vegas;Valencia CF;Spain;coach
73;2425;73rn9gits3tertvadno7g136y;José María Sanz Sánchez;José María Sanz Sánchez;Chema Sanz;José María;Sanz Sánchez;Valencia CF;Spain;assistant coach
73;2425;8ptaunwf8u1vnm6nwcm9jyo7o;Jorge Alarcón;Jorge Alarcón;Jorge Alarcón;Jorge;Alarcón;Valencia CF;Spain;assistant coach
73;2425;e6vbc7hgm4rz3o95vckqwx8fd;Carlos Corberán Vallet;Carlos Corberán;Carlos Corberán;Carlos;Corberán Vallet;Valencia CF;Spain;coach
73;2425;5si50dq9be9264rxt7td0padx;Marcelino García Toral;Marcelino García;Marcelino;Marcelino;García Toral;Villarreal CF;Spain;coach
73;2425;9cf5u13l80bazmk7ncxqu1u51;Juan Rubén Uría Corral;Rubén Uría;Rubén Uría;Juan Rubén;Uría Corral;Villarreal CF;Spain;assistant coach
