league;season;rank;team;points;matches_played;wins;draws;losses;goals_for;goals_against
73;2425;1;FC Barcelona;45;19;14;2;3;50;19
73;2425;2;Villarreal CF;36;19;11;5;3;28;24
73;2425;3;Real Madrid CF;35;19;10;4;5;33;19
73;2425;4;Athletic Club;31;19;8;4;7;22;16
73;2425;5;Club Atlético de Madrid;30;19;8;5;6;26;15
73;2425;6;Rayo Vallecano de Madrid;26;19;7;7;5;17;19
73;2425;7;Real Betis Balompié;26;19;7;7;5;25;29
73;2425;8;Getafe CF;23;19;7;10;2;19;20
73;2425;9;Real Club Deportivo Mallorca;21;19;6;10;3;15;23
73;2425;10;Real Club Celta de Vigo;19;19;5;10;4;27;36
73;2425;11;Real Sociedad de Fútbol;19;19;5;10;4;15;26
73;2425;12;Deportivo Alavés;18;19;4;9;6;24;31
73;2425;13;Sevilla FC;17;19;4;10;5;25;32
73;2425;14;Girona FC;17;19;4;10;5;17;30
73;2425;15;CA Osasuna;16;19;2;7;10;15;29
73;2425;16;UD Las Palmas;15;19;4;12;3;19;32
73;2425;17;CD Leganés;15;19;2;8;9;16;29
73;2425;18;Valencia CF;15;19;2;8;9;18;34
73;2425;19;Reial Club Deportiu Espanyol de Barcelona;12;19;3;13;3;17;31
73;2425;20;Real Valladolid CF;3;19;1;18;0;15;58
