match_id;player_idss;teamss;opponent;player;positionss;shirt_number;totalPassss;accuratePassss;totalLongBalls;accurateLongBalls;goalAssistss;accurateOwnHalfPasses;totalOwnHalfPasses;accurateOppositionHalfPasses;totalOppositionHalfPasses;ballRecovery;savedShotsFromInsideTheBox;penaltyFaced;savesss;totalKeeperSweeper;accurateKeeperSweeper;minutesPlayed;touches;rating;possessionLostCtrl;expectedAssists;totalBallCarriesDistance;ballCarriesCount;totalProgression;keeperSaveValue;totalShots;goalsPrevented;passValueNormalized;dribbleValueNormalized;defensiveValueNormalized;goalkeeperValueNormalized;totalCross;aerialLost;aerialWon;duelLost;duelWon;totalContest;shotOffTargetss;totalClearancess;outfielderBlock;interceptionWon;wasFouledss;foulsss;totalOffsidess;expectedGoals;bestBallCarryProgression;totalProgressiveBallCarriesDistance;progressiveBallCarriesCount;shotValueNormalized;challengeLost;totalTackless;wonTackless;unsuccessfulTouch;dispossessed;onTargetScoringAttempt;penaltyConceded;expectedGoalsOnTarget;keyPass;wonContest;accurateCross;bigChanceCreated;bigChanceMissed;goodHighClaim;blockedScoringAttempt;goalsss;penaltyWon;errorLeadToAShot;lastManTackle;hitWoodwork;errorLeadToAGoal;punches;ownGoalsss;penaltySave;penaltyMiss;league;season;match;match_slug;teamsw;player_idsw;name;short_name;match_name;positionsw;pos_side;formation_place;accuratePasssw;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;savessw;totalClearancesw;totalPasssw;wasFouledsw;formationPlace;foulssw;shotOffTargetsw;totalScoringAtt;totalTacklesw;totalThrows;wonCorners;wonTacklesw;yellowCard;totalSubOff;blockedScoringAtt;goalAssistsw;goalssw;ontargetScoringAtt;cornerTaken;totalSubOn;totalOffsidesw;ownGoalssw;Venue
14083303;1009372;Villarreal;Espanyol;Georges Mikautadze;F;9;9.0;7.0;1.0;1.0;1.0;1.0;1.0;6.0;8.0;2.0;0.0;0.0;0.0;0.0;0.0;73.0;18.0;8.7;6.0;0.350414;67.251687610579;7.0;49.892050620918;0.0;2;0.0;0.4;0.47;0.0;0.0;0.0;1.0;0.0;3.0;3.0;2.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;0.2703;18.232743537752;25.364781321435;2.0;0.5;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.9239;3.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;Villarreal;8bvn7mn5tjfj3l2bnpvm75gmi;Georges Mikautadze;Georges Mikautadze;G. Mikautadze;Striker;Left/Centre;9;7;1;0;0;0;73;0;0;9;2;9;1;1;2;0;0;0;0;0;1;0;1;1;1;0;0;0;0;Home
14083303;345195;Villarreal;Espanyol;Ayoze Pérez;F;22;8.0;7.0;0.0;0.0;0.0;4.0;5.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;26.0;15.0;6.8;4.0;0.0181209;60.030373938564;4.0;55.400754885307;0.0;0;0.0;-0.03;0.25;0.18;0.0;1.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.111071358708;40.911751435673;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;Villarreal;drwacyyicuhy3heg4j0ipqj85;Ayoze Pérez Gutiérrez;Ayoze Pérez;Ayoze Pérez;Substitute;Attacker;0;7;0;0;1;1;26;0;0;8;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;1;0;0;Home
14083303;843678;Villarreal;Espanyol;Santi Comesaña;M;14;15.0;13.0;0.0;0.0;0.0;11.0;12.0;2.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;25.0;20.0;6.2;4.0;0.00037322;25.257782650415;3.0;6.4042686157938;0.0;0;0.0;-0.06;0.02;-0.15;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;Villarreal;b5rea5r4h8bclpenau2au142x;Santiago Comesaña Veiga;Santi Comesaña;Santi Comesaña;Substitute;Midfielder;0;13;0;0;1;0;25;0;1;15;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Home
14083303;1184541;Villarreal;Espanyol;Alexander Freeman;D;3;12.0;11.0;0.0;0.0;0.0;8.0;8.0;3.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;17.0;6.3;1.0;0.00058146;8.0429735386531;2.0;7.627679520127;0.0;0;0.0;0.03;0.0;-0.22;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;Villarreal;6g7i7z6m8vts105dny1g6z3hm;Alexander Michael Freeman;Alexander Freeman;A. Freeman;Substitute;Defender;0;11;0;0;1;0;17;0;1;12;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;Home
14083303;1172477;Villarreal;Espanyol;Tani Oluwaseyi;F;21;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;3.0;6.2;2.0;2.014e-05;33.173852414213;1.0;24.27284112577;0.0;0;0.0;-0.02;0.01;0.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;24.27284112577;33.173852414213;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;Villarreal;2mhvgtcem9qn2yzobtkqiegpg;Tanitoluwa Oluwatimikhin Oluwaseyi;Tani Oluwaseyi;T. Oluwaseyi;Substitute;Attacker;0;1;0;0;1;0;17;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;Home
14083303;1966890;Villarreal;Espanyol;Hugo Lopez;F;32;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;10.0;4.0;6.4;2.0;4.46e-06;14.599482503215;2.0;-7.4072612865456;0.0;0;0.0;-0.05;0.0;0.13;0.0;1.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;Villarreal;63i6o2zienvxlanzwc6pf8cus;Hugo López Cortés;Hugo Lopez;Hugo López;Substitute;Attacker;0;1;0;0;1;0;10;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;Home
14083303;94527;Espanyol;Villarreal;Marko Dmitrović;G;13;21.0;11.0;15.0;5.0;0.0;7.0;8.0;4.0;13.0;3.0;0.0;0.0;0.0;2.0;2.0;90.0;23.0;5.5;10.0;0.00368236;16.630277473619;4.0;3.991939405984;0.0;0;-2.2058;0.07;0.0;-0.45;-0.74;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;Espanyol;bahph7009sc73jl6s2bramn6d;Marko Dmitrović;Marko Dmitrovic;M. Dmitrović;Goalkeeper;Centre;1;11;1;6;4;0;90;0;0;21;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Away
14083303;1064026;Espanyol;Villarreal;Omar El Hilali;D;23;55.0;48.0;5.0;4.0;0.0;25.0;26.0;23.0;29.0;1.0;0.0;0.0;0.0;0.0;0.0;90.0;72.0;5.9;10.0;0.0244444;117.11384678558;17.0;59.117730164351;0.0;0;0.0;0.07;0.05;-0.65;0.0;3.0;0.0;0.0;2.0;2.0;0.0;0.0;5.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;Espanyol;7h0b81yjiiu356rycsakgd0yc;Omar El Hilali Khayat;Omar El Hilali;O. El Hilali;Defender;Right;2;48;1;0;4;0;90;0;5;55;1;2;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;Away
14083303;857205;Espanyol;Villarreal;Fernando Calero;D;5;40.0;35.0;7.0;4.0;0.0;23.0;26.0;12.0;14.0;1.0;0.0;0.0;0.0;0.0;0.0;45.0;46.0;6.3;5.0;0.00257561;91.717290738215;15.0;53.557865720629;0.0;0;0.0;0.04;0.04;-0.28;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;Espanyol;2rqxh5mex336ci45jaw428y5l;Fernando Calero Villa;Fernando Calero;Fernando Calero;Defender;Centre/Right;5;35;1;0;2;0;45;0;4;40;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Away
14083303;81992;Espanyol;Villarreal;Leandro Cabrera;D;6;53.0;51.0;6.0;4.0;0.0;43.0;44.0;8.0;9.0;1.0;0.0;0.0;0.0;0.0;0.0;90.0;63.0;7.3;4.0;0.0026294;78.58020365398;16.0;30.700486903214;0.0;1;0.0;0.17;0.05;-0.59;0.0;1.0;1.0;0.0;1.0;4.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0966;0.0;0.0;0.0;0.51;0.0;4.0;2.0;1.0;0.0;1.0;0.0;0.531;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;Espanyol;6810qbng9pfg1bztczv11grmd;Leandro Daniel Cabrera Sasía;Leandro Cabrera;L. Cabrera;Defender;Left/Centre;6;51;1;1;4;0;90;0;3;53;0;6;1;0;1;4;0;0;2;0;0;0;0;1;1;0;0;0;0;Away
