match_id;team;opponent;Ball possession;Expected goals;Big chances;Total shots;Goalkeeper saves;Corner kicks;Fouls;Passes;Tackles;Free kicks;Yellow cards;Shots on target;Hit woodwork;Shots off target;Blocked shots;Shots inside box;Shots outside box;Big chances scored;Big chances missed;Through balls;Touches in penalty area;Fouled in final third;Offsides;Accurate passes;Throw-ins;Final third entries;Final third phase;Long balls;Crosses;Duels;Dispossessed;Ground duels;Aerial duels;Dribbles;Tackles won;Total tackles;Interceptions;Recoveries;Clearances;Total saves;Goals prevented;Big saves;High claims;Goal kicks;Red cards;Errors lead to a shot;Errors lead to a goal;Punches;Penalty saves;league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;ownGoals;dominium
14083303;Villarreal;Espanyol;49;0.77;3;10;1;5;18;428;10;11;3.0;3;0;4;3;7;3;3.0;0;0.0;22;0;1;378;11;36;62;13;2;53;4;29;17;9;6;10;8;40;34;1;-0.0469;1;0.0;7;0.0;1.0;0.0;1.0;0.0;73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;74mcjsm72vr3l9pw2i4qfjchj;442;5si50dq9be9264rxt7td0padx;Marcelino García Toral;home;#FFFF00;#000000;378;3;5;18;11;3;7;4;1;8;3;49;1;4;5;34;1;428;10;10;11;3;5;6;442;0;0.5132791327913279
14083303;Espanyol;Villarreal;51;0.51;1;9;0;8;11;439;13;18;3.0;2;0;5;2;4;5;1.0;1;0.0;14;3;0;374;15;51;83;25;3;47;3;34;7;7;8;13;8;26;23;0;-2.2058;0;0.0;7;0.0;0.0;0.0;0.0;0.0;73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;c8llrezkm3b3op4afrou6b487;4231;2e0sebn7a8mcnfa90kdn7ckb9;José Manuel González Álvarez;third;#345578;0;374;2;8;11;15;1;7;1;4;5;2;51;0;5;5;23;0;439;9;13;15;3;8;8;4231;1;0.4867208672086721
