league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;goalsConceded;lostCorners;penGoalsConceded;accuratePass;minsPlayed;totalClearance;totalPass;saves;gameStarted;penaltyFaced;goalKicks;formationPlace;wasFouled;penaltyConceded;totalTackle;wonTackle;fouls;totalOffside;totalSubOff;totalThrows;shotOffTarget;totalScoringAtt;cornerTaken;wonCorners;blockedScoringAtt;ontargetScoringAtt;totalSubOn;cleanSheet;penaltyWon;yellowCard;goals
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4dtdjgnpdq9uw4sdutti0vaar;c7i0lduij4vsnluxisdnaxsk5;Antonio Sivera Salvá;Antonio Sivera;Antonio Sivera;1;Goalkeeper;Centre;1;0;0;0;8;90;1;25;1;1;0;5;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4dtdjgnpdq9uw4sdutti0vaar;d34tmogp5h4rwuo3pcxtwp0fe;Manuel Sánchez de la Peña;Manu Sánchez;Manu Sánchez;3;Defender;Left;3;0;3;0;15;90;4;20;0;1;0;0;3;1;0;2;2;6;0;0;7;0;0;0;1;0;0;0;1;0;0;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4dtdjgnpdq9uw4sdutti0vaar;albt55j4oir1veynmos532psk;Álvaro Santiago Mouriño González;Santiago Mouriño;S. Mouriño;12;Defender;Left/Centre;6;0;0;0;26;90;8;33;0;1;0;0;6;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4dtdjgnpdq9uw4sdutti0vaar;658ed5dqfrdd5fe7ayo9eo1rd;Facundo Tomás Garcés;Facundo Garcés;F. Garcés;2;Defender;Centre/Right;5;0;1;0;35;90;4;38;0;1;0;0;5;0;0;0;0;2;0;0;0;0;2;0;0;1;1;0;1;0;0;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4dtdjgnpdq9uw4sdutti0vaar;9tw6rz3lfmn06fzsabtx9ei95;Facundo Nahuel Tenaglia;Nahuel Tenaglia;N. Tenaglia;14;Defender;Right;2;0;0;0;22;90;1;28;0;1;0;0;2;1;0;1;1;1;0;0;17;1;3;0;0;1;1;0;1;1;0;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4dtdjgnpdq9uw4sdutti0vaar;4zve4017u2i3zvxlnjruv25t5;Antonio Blanco Conde;Antonio Blanco;Antonio Blanco;8;Defensive Midfielder;Centre;4;0;0;0;29;86;0;40;0;1;0;0;4;3;0;2;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4dtdjgnpdq9uw4sdutti0vaar;eiqt71z69beq7akuhot0foset;Carles Aleña Castillo;Carles Aleñá;Carles Aleñá;21;Midfielder;Left/Centre;11;0;0;0;19;65;0;25;0;1;0;0;11;1;0;1;1;2;0;1;0;0;0;4;0;0;0;0;0;0;0;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4dtdjgnpdq9uw4sdutti0vaar;cme92rbmqszu51sjm99ho8a21;Ander Guevara Lajo;Ander Guevara;Ander Guevara;6;Midfielder;Centre;8;0;0;0;38;90;2;49;0;1;0;0;8;0;0;2;2;2;0;0;0;1;1;0;0;0;0;0;1;0;0;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4dtdjgnpdq9uw4sdutti0vaar;bb2v7p23g1w8kb3nhuuwnil4a;Carlos Vicente Robles;Carlos Vicente;Carlos Vicente;7;Midfielder;Centre/Right;7;0;0;0;12;90;1;23;0;1;0;0;7;4;0;2;2;3;0;0;0;0;1;4;2;1;0;0;1;0;1;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4dtdjgnpdq9uw4sdutti0vaar;4l2rgx65vzgrrxorbc1edq8yd;Enrique García Martínez;Kike García;Kike García;17;Striker;Left/Centre;10;0;0;0;14;90;0;27;0;1;0;0;10;2;0;2;2;1;0;0;0;1;3;0;2;0;2;0;1;0;0;1
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4dtdjgnpdq9uw4sdutti0vaar;bccp1nvtoc3n1q4g4sw1p7ro5;Jon Guridi Aldalur;Jon Guridi;Jon Guridi;18;Striker;Centre/Right;9;0;0;0;18;65;1;22;0;1;0;0;9;0;0;5;3;2;0;1;0;1;2;0;3;1;0;0;0;0;0;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4dtdjgnpdq9uw4sdutti0vaar;16mj3l623plqx1hm9zvpvn5yh;Carlos Nahuel Benavídez Protesoni;Carlos Protesoni;C. Protesoni;23;Substitute;Midfielder;0;0;0;0;1;4;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4dtdjgnpdq9uw4sdutti0vaar;d6vfmln3oxuel34y15hnp8bft;Tomás José Conechny;Tomás Conechny;T. Conechny;10;Substitute;Attacker;0;0;1;0;1;25;1;5;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4dtdjgnpdq9uw4sdutti0vaar;8ycvfctf7c3yljnbtltsogkph;Joan Jordán Moreno;Joan Jordán;Joan Jordán;24;Substitute;Midfielder;0;0;0;0;4;25;1;6;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
