match_id;player_idss;teamss;opponent;player;positionss;shirt_number;totalPassss;accuratePassss;totalLongBalls;accurateLongBalls;goalAssistss;accurateOwnHalfPasses;totalOwnHalfPasses;accurateOppositionHalfPasses;totalOppositionHalfPasses;ballRecovery;savedShotsFromInsideTheBox;penaltyFaced;savesss;totalKeeperSweeper;accurateKeeperSweeper;minutesPlayed;touches;rating;possessionLostCtrl;expectedAssists;totalBallCarriesDistance;ballCarriesCount;totalProgression;keeperSaveValue;totalShots;goalsPrevented;passValueNormalized;dribbleValueNormalized;defensiveValueNormalized;goalkeeperValueNormalized;totalCross;aerialLost;aerialWon;duelLost;duelWon;totalContest;shotOffTargetss;totalClearancess;outfielderBlock;interceptionWon;wasFouledss;foulsss;totalOffsidess;expectedGoals;bestBallCarryProgression;totalProgressiveBallCarriesDistance;progressiveBallCarriesCount;shotValueNormalized;challengeLost;totalTackless;wonTackless;unsuccessfulTouch;dispossessed;onTargetScoringAttempt;penaltyConceded;expectedGoalsOnTarget;keyPass;wonContest;accurateCross;bigChanceCreated;bigChanceMissed;goodHighClaim;blockedScoringAttempt;goalsss;penaltyWon;errorLeadToAShot;lastManTackle;hitWoodwork;errorLeadToAGoal;punches;ownGoals;penaltySave;penaltyMiss;league;season;match;match_slug;teamsw;player_idsw;name;short_name;match_name;positionsw;pos_side;formation_place;accuratePasssw;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;savessw;totalPasssw;totalThrows;formationPlace;foulssw;totalClearancesw;totalSubOff;totalTacklesw;yellowCard;totalOffsidesw;wonTacklesw;ontargetScoringAtt;totalScoringAtt;blockedScoringAtt;wonCorners;cornerTaken;shotOffTargetsw;wasFouledsw;totalSubOn;cleanSheet;goalAssistsw;goalssw;Venue
14083263;69768;Atlético de Madrid;Real Betis;Jan Oblak;G;13;14.0;14.0;0.0;0.0;0.0;14.0;14.0;0.0;0.0;11.0;2.0;0.0;3.0;1.0;1.0;90.0;25.0;7.0;0.0;6.694e-05;15.670800745695;3.0;9.0399605965132;0.7969;0;-0.3652;0.01;0.02;-0.06;0.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Atlético de Madrid;2yt9oajv9dkbju8tgy1g2nmqd;Jan Oblak;Jan Oblak;J. Oblak;Goalkeeper;Centre;1;14;1;5;1;2;90;3;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Home
14083263;353138;Atlético de Madrid;Real Betis;Marcos Llorente;D;14;61.0;54.0;4.0;4.0;0.0;24.0;25.0;30.0;36.0;8.0;0.0;0.0;0.0;0.0;0.0;90.0;74.0;6.4;10.0;0.03098;120.31164275377;16.0;65.235346413257;0.0;1;0.0;0.1;0.18;-0.33;0.0;1.0;1.0;1.0;6.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0322;13.93815650455;14.073645192344;1.0;-0.05;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Atlético de Madrid;amxunh6enoc99r07cp7qt621h;Marcos Llorente Moreno;Marcos Llorente;Marcos Llorente;Defender;Right;2;54;1;0;1;0;90;0;61;5;2;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;Home
14083263;325355;Atlético de Madrid;Real Betis;José María Giménez;D;2;101.0;93.0;4.0;2.0;0.0;41.0;43.0;52.0;58.0;6.0;0.0;0.0;0.0;0.0;0.0;90.0;114.0;6.9;9.0;0.0259602;232.40603121221;33.0;139.407130438;0.0;2;0.0;0.27;0.19;-0.03;0.0;0.0;4.0;5.0;6.0;6.0;0.0;0.0;4.0;1.0;1.0;0.0;2.0;0.0;0.2643;0.0;0.0;0.0;-0.54;0.0;1.0;0.0;1.0;0.0;2.0;0.0;0.5016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Atlético de Madrid;548jzfl9higq44w9bgqvcjh05;José María Giménez de Vargas;José María Giménez;J. Giménez;Defender;Centre/Right;5;93;1;0;1;1;90;0;101;1;5;2;4;0;1;1;0;0;2;2;0;0;0;0;0;0;0;0;0;Home
14083263;807771;Atlético de Madrid;Real Betis;Dávid Hancko;D;17;85.0;78.0;3.0;1.0;0.0;32.0;32.0;46.0;53.0;7.0;0.0;0.0;0.0;0.0;0.0;90.0;96.0;6.9;11.0;0.0273874;216.63481229383;29.0;163.95754745923;0.0;0;0.0;0.06;0.36;-0.18;0.0;1.0;0.0;1.0;2.0;4.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;17.349014104169;37.894614587291;2.0;0.0;1.0;2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Atlético de Madrid;1vyh50nfaq2kq5pmivpkc1psl;Dávid Hancko;Dávid Hancko;D. Hancko;Defender;Left/Centre;6;78;1;0;1;0;90;0;85;2;6;0;1;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;Home
14083263;965011;Atlético de Madrid;Real Betis;Matteo Ruggeri;D;3;35.0;32.0;1.0;1.0;0.0;5.0;5.0;27.0;30.0;1.0;0.0;0.0;0.0;0.0;0.0;45.0;43.0;6.4;6.0;0.0346126;45.944916246654;8.0;12.913515520567;0.0;0;0.0;0.25;-0.03;-0.18;0.0;2.0;1.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Atlético de Madrid;7mvqysbmyf6uj3jny3qpqw2ga;Matteo Ruggeri;Matteo Ruggeri;M. Ruggeri;Defender;Left;3;32;1;0;1;0;45;0;35;0;3;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Home
14083263;1099352;Atlético de Madrid;Real Betis;Giuliano Simeone;M;20;37.0;27.0;0.0;0.0;0.0;3.0;3.0;24.0;34.0;2.0;0.0;0.0;0.0;0.0;0.0;90.0;54.0;6.1;20.0;0.0454475;129.84872941336;19.0;98.156382932354;0.0;0;0.0;-0.37;0.06;-0.12;0.0;4.0;0.0;0.0;5.0;3.0;4.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;12.957625309692;15.619469389195;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Atlético de Madrid;5es43b4a7fv0lkmp63dj439ey;Giuliano Simeone Baldini;Giuliano Simeone;G. Simeone;Midfielder;Right;7;27;1;0;1;0;90;0;37;1;7;1;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;Home
14083263;1391752;Atlético de Madrid;Real Betis;Rodrigo Mendoza;M;4;43.0;38.0;0.0;0.0;0.0;14.0;15.0;24.0;28.0;2.0;0.0;0.0;0.0;0.0;0.0;55.0;46.0;6.3;7.0;0.0194516;95.184215416447;9.0;63.984921958446;0.0;1;0.0;-0.05;0.12;-0.16;0.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0079;8.4770699382727;8.6296827867541;1.0;-0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Atlético de Madrid;1filh68q6hdk921qkdo7rsvmc;Rodrigo Mendoza Martinez Moya;Rodrigo Mendoza;Rodrigo Mendoza;Midfielder;Centre/Right;4;38;1;0;1;0;55;0;43;0;4;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;Home
14083263;84539;Atlético de Madrid;Real Betis;Koke;M;6;132.0;121.0;5.0;2.0;0.0;39.0;40.0;82.0;92.0;7.0;0.0;0.0;0.0;0.0;0.0;90.0;148.0;7.7;16.0;0.518921;491.6697206312;49.0;314.43759353873;0.0;0;0.0;0.69;0.34;0.16;0.0;6.0;0.0;0.0;3.0;2.0;1.0;0.0;3.0;0.0;2.0;0.0;2.0;0.0;0.0;38.826651978372;82.526379766012;3.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Atlético de Madrid;b9kfek16otvdorssn0wzkb36d;Jorge Resurrección Merodio;Jorge Resurrección Merodio;Koke;Midfielder;Left/Centre;8;121;1;0;1;0;90;0;132;0;8;2;3;0;1;0;0;1;0;0;0;0;4;0;0;0;0;0;0;Home
14083263;944660;Atlético de Madrid;Real Betis;Thiago Almada;M;11;29.0;26.0;1.0;1.0;0.0;5.0;5.0;21.0;24.0;2.0;0.0;0.0;0.0;0.0;0.0;45.0;33.0;6.8;3.0;0.0368901;102.17024853886;13.0;42.790382137927;0.0;0;0.0;0.0;0.19;-0.05;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.83643923116;28.497084359518;2.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Atlético de Madrid;4ea0sjczqa5ah1w720zlakkfe;Thiago Ezequiel Almada;Thiago Almada;T. Almada;Midfielder;Left;11;26;1;0;1;0;45;0;29;0;11;0;0;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;Home
14083263;944656;Atlético de Madrid;Real Betis;Julián Alvarez;F;19;13.0;10.0;0.0;0.0;0.0;4.0;4.0;6.0;9.0;3.0;0.0;0.0;0.0;0.0;0.0;45.0;17.0;6.5;3.0;0.0193962;18.970853005597;4.0;-4.1924031402258;0.0;1;0.0;0.0;0.07;-0.04;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0576;0.0;0.0;0.0;-0.33;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.3447;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;Atlético de Madrid;9ikkuxd19avliz1khcrm82gyy;Julián Alvarez;Julián Alvarez;J. Alvarez;Striker;Centre/Right;10;10;1;0;1;0;45;0;13;0;10;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;Home
