league;season;match;match_slug;type;team_id;minute;scorer_id;scorer;assister_id;assister
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;G;63f5h8t5e9qm1fqmvfkb23ghh;23:34;9x5uo2wkxp9fk1arygbkl6u0a;L. Sučić;7pmigpf4yfi6dfih8e1ogdwb9;Gonçalo Guedes
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;G;63f5h8t5e9qm1fqmvfkb23ghh;36:58;b45ryclny991bm7qosieyg1cl;Mikel Oyarzabal;;
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;G;4yg9ttzw0m51048doksv8uq5r;41:46;dhhmffih4gl51nlu92hfctqs5;André Silva;;
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;G;63f5h8t5e9qm1fqmvfkb23ghh;88:52;euur9yvhgrieu4kl0vdkh244q;O. Óskarsson;706la37b8u3v3n6mqtbjs73mc;Jon Gorrotxategi
