league;season;match;match_slug;type;team_id;minute;scorer_id;scorer;assister_id;assister
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;G;4dtdjgnpdq9uw4sdutti0vaar;4:56;9ivrglgy0tibv881e1a93psr9;L. Boyé;2ww626a9v31b072prdx0xf1g4;Y. Enríquez
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;G;7h7eg7q7dbwvzww78h9d5eh0h;30:13;32ofi0z0euiqvxt5jk8o1uzxm;V. Vanat;59234as8h70fejyfm7492np3p;A. Witsel
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;G;7h7eg7q7dbwvzww78h9d5eh0h;72:28;3auwtiburdxrp2i5me2d97f11;V. Tsygankov;41jb0ts5688xz8ell62rybm22;A. Ounahi
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;G;4dtdjgnpdq9uw4sdutti0vaar;88:10;9ivrglgy0tibv881e1a93psr9;L. Boyé;6azcxbumsgd8es7mcd9b3t94a;Víctor Parada
