league;season;match;match_slug;type;team_id;minute;scorer_id;scorer;assister_id;assister
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;G;6f27yvbqcngegwsg2ozxxdj4;37:24;9mlj7fxon5zy1qmktvvcwjrl6;Ferran Jutglà;75xbiozismh96vufhrhkng4mi;Javi Rueda
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;G;c8llrezkm3b3op4afrou6b487;65:54;4l2rgx65vzgrrxorbc1edq8yd;Kike García;;
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;G;c8llrezkm3b3op4afrou6b487;85:13;bce703taa20nxg814t2giuei;T. Dolan;20ebw399jhbq0i5x2eacrrs6i;Ramon Terrats
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;G;6f27yvbqcngegwsg2ozxxdj4;92:03;d12m2oz1lomkc1qxmpht38lat;Borja Iglesias;9ksvo095xi2t4q4pvgxa836z8;Pablo Durán
