league;season;match;match_slug;type;team_id;minute;scorer_id;scorer;assister_id;assister
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;G;c8llrezkm3b3op4afrou6b487;6:28;4l2rgx65vzgrrxorbc1edq8yd;Kike García;74wjzeja92l4q8fpy1bkmcsfd;Pol Lozano
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;G;4yg9ttzw0m51048doksv8uq5r;42:00;z0qe6u5fvgrjy0jzk1qhbgq2;Marc Aguado;;
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;G;c8llrezkm3b3op4afrou6b487;56:08;5djkwcoflvxcv5oida6txfyp6;Carlos Romero;8qvqdjw1d58mw7420lpmk7bah;Edu Expósito
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;PG;4yg9ttzw0m51048doksv8uq5r;89:30;4sojot9t32l4a6fm3e39xkcfd;Rafa Mir;;
