league;season;match;match_slug;type;team_id;minute;scorer_id;scorer;assister_id;assister
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;G;agh9ifb2mw3ivjusgedj7c3fe;3:55;4et6r42e7q2ojgaumwnua2kgk;Marc Bernal;4ggz7e009bq3yltc9o6mifbah;Eric García
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;G;agh9ifb2mw3ivjusgedj7c3fe;31:33;ezviixcyaaj162saxs2yl27s9;F. de Jong;29pq64smaxdwlraopnxoleqxh;João Cancelo
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;G;agh9ifb2mw3ivjusgedj7c3fe;80:25;cjll1xrw3xulnl23c9tlf6rys;Fermín López;abr79wsl0folgkyvl821ggs2c;Lamine Yamal
