league;season;id;name;short_name;match_name;first_name;last_name;team;nationality;position;shirt_number
73;2526;1b9ud9pyseqgpqzvwxvya3j84;Adrián Pérez Sordo;Adrián Pérez;Adrián Pérez;Adrián;Pérez Sordo;Athletic Club;Spain;Attacker;33
73;2526;1w5m843i9tnwb5b36xrkheihg;Elijah Gift Izobodo John;Elijah Gift Izobodo John;Elijah Gift;Elijah Gift;Izobodo John;Athletic Club;Spain;Attacker;40
73;2526;1xsrdgt40nb6p9qvt6mf272fo;Alejandro Rego Mora;Alejandro Rego;Alejandro Rego;Alejandro;Rego Mora;Athletic Club;Spain;Midfielder;30
73;2526;26wj6flfqi59vgz6vwjgur2ay;Nicolás Serrano Galdeano;Nico Serrano;Nico Serrano;Nicolás;Serrano Galdeano;Athletic Club;Spain;Attacker;22
73;2526;2blue4kkn5uryu76u55b3wp3o;Malcom Abdulai Ares Djaló;Malcom Abdulai Ares Djaló;Adu Ares;Malcom Abdulai;Ares Djaló;Athletic Club;Spain;Attacker;14
73;2526;352ywlfcjt329s7etjn4rkui2;Beñat Prados Díaz;Beñat Prados;Beñat Prados;Beñat;Prados Díaz;Athletic Club;Spain;Midfielder;24
73;2526;3hep7726yy75p4gj3o122tqms;Endika Buján de Rueda;Endika Bujan;Endika Buján;Endika;Buján de Rueda;Athletic Club;Spain;Attacker;48
73;2526;3tzvbdszdrj1tayik9igbve8l;Gorka Guruzeta Rodríguez;Gorka Guruzeta;Gorka Guruzeta;Gorka;Guruzeta Rodríguez;Athletic Club;Spain;Attacker;11
73;2526;43sv2qpco7dsobxna7z9dugyy;Urko Iruretagoiena Lertxundi;Urko Iruretagoiena Lertxundi;Urko Izeta;Urko;Iruretagoiena Lertxundi;Athletic Club;Spain;Attacker;25
73;2526;4vlurpsi44g09g159t61u83bp;Unai Simón Mendibil;Unai Simón;Unai Simón;Unai;Simón Mendibil;Athletic Club;Spain;Goalkeeper;1
73;2526;550gbhfvz0tlbw7g7tz1bdqfo;Mikel Santos Linares;Mikel Santos;Mikel Santos;Mikel;Santos Linares;Athletic Club;Spain;Goalkeeper;26
73;2526;5ayo0fp6wod7cqg71e38zdz4k;Adama Boiro Boiro;Adama Boiro;Adama Boiro;Adama;Boiro Boiro;Athletic Club;Spain;Defender;19
73;2526;5kd57453a90zahgdxwkghr816;Aitor Paredes Casamichana;Aitor Paredes;Aitor Paredes;Aitor;Paredes Casamichana;Athletic Club;Spain;Defender;4
73;2526;66jotyvbhtz5cjvhbby6luelm;Nicholas Williams Arthuer;Nico Williams;Nico Williams;Nicholas;Williams Arthuer;Athletic Club;Spain;Attacker;10
73;2526;72teeil638lx1xlg6htlkt1qs;Eder García Altuna;Eder García;Eder García;Eder;García Altuna;Athletic Club;Spain;Midfielder;49
73;2526;7aoe0u87gxgv9tvgrotcfue7e;Roberto Navarro Muñoz;Robert Navarro;Robert Navarro;Roberto;Navarro Muñoz;Athletic Club;Spain;Midfielder;23
73;2526;7fmpgkx58o9pivo2bbnxxkt05;Aymeric Jean Louis Gérard Alphonse Laporte;Aymeric Laporte;Aymeric Laporte;Aymeric Jean Louis Gérard Alphonse;Laporte;Athletic Club;Spain;Defender;14
73;2526;7r7wgbcu7vmlj19m9jpjhu1yi;Jesús Areso Blanco;Jesús Areso;Jesús Areso;Jesús;Areso Blanco;Athletic Club;Spain;Defender;12
73;2526;7ubtan6a51o79w469zawrqqqd;Íñigo Ruíz de Galarreta Etxeberria;Íñigo Ruíz de Galarreta;Íñigo Ruíz de Galarreta;Íñigo;Ruíz de Galarreta Etxeberria;Athletic Club;Spain;Midfielder;16
73;2526;7x2c4pr7hvku5zp0dnjcpy0yy;Unai Vencedor Paris;Unai Vencedor;Unai Vencedor;Unai;Vencedor Paris;Athletic Club;Spain;Midfielder;13
73;2526;83n1qv6ypl625aolzjeqifv11;Mikel Vesga Arruti;Mikel Vesga;Mikel Vesga;Mikel;Vesga Arruti;Athletic Club;Spain;Midfielder;6
73;2526;8hm6d6395johhjsoe8jz6dcyd;Yuri Berchiche Izeta;Yuri Berchiche;Yuri;Yuri;Berchiche Izeta;Athletic Club;Spain;Defender;17
73;2526;9d5h5wxf44qu4fw3jk2pgis16;Daniel Vivian Moreno;Dani Vivian;Dani Vivian;Daniel;Vivian Moreno;Athletic Club;Spain;Defender;3
73;2526;a2k7c99py1zab3qa0i0pjy590;Asier Hierro Campo;Asier Hierro;Asier Hierro;Asier;Hierro Campo;Athletic Club;Spain;Attacker;31
73;2526;ajmyaj6fk8lpirlqndw75i42c;Unai Egiluz Arroyo;Unai Egiluz;Unai Egiluz;Unai;Egiluz Arroyo;Athletic Club;Spain;Defender;29
73;2526;b2rqgjegzeyq6wy6qu63zz2fo;Unai Gómez Etxebarria;Unai Gómez;Unai Gómez;Unai;Gómez Etxebarria;Athletic Club;Spain;Midfielder;20
73;2526;b91n9sdabth8oocdawayybdud;Andoni Gorosabel Espinosa;Andoni Gorosabel;Andoni Gorosabel;Andoni;Gorosabel Espinosa;Athletic Club;Spain;Defender;2
73;2526;b9q69u0q11bjpu0393sdy50;Alejandro Padilla Pérez;Álex Padilla;Á. Padilla;Alejandro;Padilla Pérez;Athletic Club;Mexico;Goalkeeper;27
73;2526;bpbz94ux2g6awkward9cjwrh0;Ibon Ignacio Sánchez Océn;Ibon Sánchez;Ibon Sánchez;Ibon Ignacio;Sánchez Océn;Athletic Club;Spain;Midfielder;35
73;2526;by8xbw0rb239l1x4b0t33tpn8;Maroan Sannadi Harrouch;Maroan Sannadi;M. Sannadi;Maroan;Sannadi Harrouch;Athletic Club;Morocco;Attacker;21
73;2526;ck7lu09geq8mi6vkf2llyi5ii;Mikel Jauregizar Alboniga;Mikel Jauregizar;Mikel Jauregizar;Mikel;Jauregizar Alboniga;Athletic Club;Spain;Midfielder;18
73;2526;cr9kf7olyasz3pnvox96xpslw;Aimar Duñabeitia Madariaga;Aimar Duñabeitia;Aimar Duñabeitia;Aimar;Duñabeitia Madariaga;Athletic Club;Spain;Defender;28
73;2526;d4nmja5rd6kxmxel6jchbu5g4;Ander Izagirre Cestona;Ander Izagirre;Ander Izagirre;Ander;Izagirre Cestona;Athletic Club;Spain;Defender;38
73;2526;ddvvwqxpsqqboupi3gx1ijhed;Iñaki Williams Arthuer;Iñaki Williams;I. Williams;Iñaki;Williams Arthuer;Athletic Club;Ghana;Attacker;9
73;2526;dfcbvsb7o18lavmonbp5ucwoa;Oihan Sancet Tirapu;Oihan Sancet;Oihan Sancet;Oihan;Sancet Tirapu;Athletic Club;Spain;Midfielder;8
73;2526;do5tibysnhbnbw18nwdo39kut;Alejandro Berenguer Remiro;Alex Berenguer;Alex Berenguer;Alejandro;Berenguer Remiro;Athletic Club;Spain;Attacker;7
73;2526;eilv73zxaqy2h1ypjxb09bhg4;Jon de Luis Suescun;Jon de Luis;Jon de Luis;Jon;de Luis Suescun;Athletic Club;Spain;Defender;34
73;2526;esru3us4k7xaj6hjycz78pdsk;Selton Sued Sánchez Camilo;Selton Sánchez;Selton Sánchez;Selton Sued;Sánchez Camilo;Athletic Club;Spain;Midfielder;44
73;2526;ey2uutfzsevzuvnsarwuny6tw;Iker Monreal Agundez;Iker Monreal;Iker Monreal;Iker;Monreal Agundez;Athletic Club;Spain;Defender;47
73;2526;uzzq2p3s1qnb3wv1pee3mcph;Yeray Álvarez López;Yeray Álvarez;Yeray;Yeray;Álvarez López;Athletic Club;Spain;Defender;5
73;2526;v7isqpxiursyjhj5rmhyhjv9;Íñigo Lekue Martínez;Íñigo Lekue;Íñigo Lekue;Íñigo;Lekue Martínez;Athletic Club;Spain;Defender;15
73;2526;15no5m0njma23gf0ygu9agt05;Aitor Fernández Abarisketa;Aitor Fernández;Aitor Fernández;Aitor;Fernández Abarisketa;CA Osasuna;Spain;Goalkeeper;13
73;2526;1wezo3pjdktc0iqaxze3uh2sq;Iker Muñoz Cameros;Iker Muñoz;Iker Muñoz;Iker;Muñoz Cameros;CA Osasuna;Spain;Midfielder;8
73;2526;2kx3hnglbrvm08pqfh7wbnevo;Mikel Serrano García;Mikel Serrano;Mikel Serrano;Mikel;Serrano García;CA Osasuna;Spain;Defender;42
73;2526;2tvulwf5xk3fobnqsg158ydqs;Raúl Chasco Ruiz;Raúl Chasco;Raúl Chasco;Raúl;Chasco Ruiz;CA Osasuna;Spain;Defender;34
73;2526;2zcha0sd7axiu2s2c0bccz2s5;Enrique Barja Alfonso;Kike Barja;Kike Barja;Enrique;Barja Alfonso;CA Osasuna;Spain;Attacker;11
73;2526;3bg5c1r38mbrcps35zubnx79w;Mauro Echegoyen Berrozpe;Mauro Echegoyen;Mauro Echegoyen;Mauro;Echegoyen Berrozpe;CA Osasuna;Spain;Midfielder;26
73;2526;3ex56ma2xf94ex429ay35gusp;Valentin André Henri Rosier;Valentin Rosier;V. Rosier;Valentin André Henri;Rosier;CA Osasuna;France;Defender;19
73;2526;40gxfsz7bgrkdudqewlpxzyzt;Javier Galán Gil;Javi Galán;Javi Galán;Javier;Galán Gil;CA Osasuna;Spain;Defender;20
73;2526;4op7vkzs8iwv7eesdo1a04r8;Aly Kall Doumbia Cissé;Aly Doumbia;Aly Doumbia;Aly Kall;Doumbia Cissé;CA Osasuna;Spain;Attacker;47
73;2526;4ub6896uytszxmouo6lamow0k;Unai Santos Mañeru;Unai Santos;Unai Santos;Unai;Santos Mañeru;CA Osasuna;Spain;Defender;35
73;2526;4wdn2pkwuiwmev843mikx515g;Martín Pedroarena Espinal;Martín Pedroarena;Martín Pedroarena;Martín;Pedroarena Espinal;CA Osasuna;Spain;Attacker;27
73;2526;5b9awsil5bgqrsc13xsoj35nu;Jorge Herrando Oroz;Jorge Herrando;Jorge Herrando;Jorge;Herrando Oroz;CA Osasuna;Spain;Defender;5
73;2526;5t2ngljfiapcn98qlnbifg53p;Moisés Gómez Bordonado;Moi Gómez;Moi Gómez;Moisés;Gómez Bordonado;CA Osasuna;Spain;Attacker;16
73;2526;5tiol5jc7h11oic9vvyu83fqi;Flavien Enzo Thiedort Boyomo;Enzo Boyomo;E. Boyomo;Flavien Enzo Thiedort;Boyomo;CA Osasuna;Cameroon;Defender;22
73;2526;609aarpl34780k5mkkwluvjf8;Íñigo Arguibide Goñi;Iñigo Arguibide;Íñigo Arguibide;Íñigo;Arguibide Goñi;CA Osasuna;Spain;Defender;41
73;2526;6km3r9cspyz7g6343o9mri63u;Raúl Moro Prescoli;Raúl Moro;Raúl Moro;Raúl;Moro Prescoli;CA Osasuna;Spain;Attacker;18
73;2526;6nq6p1kfoejfmnzpckquv4tn8;Iker Benito Sánchez;Iker Benito;Iker Benito;Iker;Benito Sánchez;CA Osasuna;Spain;Attacker;2
73;2526;8ij122duxc65thlj8flk2xdjp;Juan Cruz Álvaro Armada;Juan Cruz Álvaro Armada;Juan Cruz;Juan Cruz;Álvaro Armada;CA Osasuna;Spain;Defender;3
73;2526;946z96r5q70ryslp3hlhafnx1;Ante Budimir;Ante Budimir;A. Budimir;Ante;Budimir;CA Osasuna;Croatia;Attacker;17
73;2526;9xbo6c8uq29ueuyinngjjiaj9;Rubén García Santos;Rubén García;Rubén García;Rubén;García Santos;CA Osasuna;Spain;Midfielder;14
73;2526;a71gkmuckp1pjbkqoczfljcb8;Roberto Arroyo Gregorio;Roberto Arroyo;Roberto Arroyo;Roberto;Arroyo Gregorio;CA Osasuna;Spain;Attacker;37
73;2526;amjegysk3et638l4od103c7o5;Sergio Herrera Pirón;Sergio Herrera;Sergio Herrera;Sergio;Herrera Pirón;CA Osasuna;Spain;Goalkeeper;1
73;2526;b5muwvixv0nq4uylgzxz7302c;Asier Osambela Larraya;Asier Osambela;Asier Osambela;Asier;Osambela Larraya;CA Osasuna;Spain;Midfielder;29
73;2526;bi8nrmyaxsgbhixw921fzvm5l;Alejandro Catena Marugán;Alejandro Catena;Alejandro Catena;Alejandro;Catena Marugán;CA Osasuna;Spain;Defender;24
73;2526;bpf2fcb73l96fwspo72shmkiy;Aimar Oroz Huarte;Aimar Oroz;Aimar Oroz;Aimar;Oroz Huarte;CA Osasuna;Spain;Midfielder;10
73;2526;bvs3rixmobb9gje6kfvhgb52i;Abel Bretones Cruz;Abel Bretones;Abel Bretones;Abel;Bretones Cruz;CA Osasuna;Spain;Defender;23
73;2526;cy3c0cj6yy1mokaj0mlk4k9re;Raúl García de Haro;Raúl García;Raúl García;Raúl;García de Haro;CA Osasuna;Spain;Attacker;9
73;2526;cywgibmici8hwp1ad1nhk3ufp;Sheraldo Rudi Salomo Willem Becker;Sheraldo Becker;S. Becker;Sheraldo Rudi Salomo Willem;Becker;CA Osasuna;Suriname;Attacker;18
73;2526;d358ce00vstqg3ilinhcc10r8;Víctor Muñoz Villanueva;Víctor Muñoz;Víctor Muñoz;Víctor;Muñoz Villanueva;CA Osasuna;Spain;Attacker;21
73;2526;d3pdr28q2n295ldry2lc1uklx;Lucas Torró Marset;Lucas Torró;Lucas Torró;Lucas;Torró Marset;CA Osasuna;Spain;Midfielder;6
73;2526;erxux52uzol4p4fqqz929zuhg;Jon García Fuentes;Jon García;Jon García;Jon;García Fuentes;CA Osasuna;Spain;Midfielder;28
73;2526;f4gpe0pxov8sea9e0fs24h8q2;Jon Moncayola Tollar;Jon Moncayola;Jon Moncayola;Jon;Moncayola Tollar;CA Osasuna;Spain;Midfielder;7
73;2526;nvnqfn0xoddn4rem857xjz84;Dimitrios Stamatakis Vailakakis;Dimitrios Stamatakis;D. Stamatakis;Dimitrios;Stamatakis Vailakakis;CA Osasuna;Greece;Goalkeeper;31
73;2526;137b0y0ssf5hf7kdqegchb384;Jorge Castillo Frutos;Jorge Castillo;Jorge Castillo;Jorge;Castillo Frutos;Club Atlético de Madrid;Spain;Midfielder;46
73;2526;17qer12owcsluo5djhufxa8es;Taufik Seidu Zanzi Awudu;Taufik Seidu Zanzi Awudu;Taufik Seidu;Taufik Seidu;Zanzi Awudu;Club Atlético de Madrid;Spain;Midfielder;28
73;2526;1ddmd9a8lc2b2yw0wzkngqnmc;Jesús Barrios Saborido;Jesús Barrios;Jesús Barrios;Jesús;Barrios Saborido;Club Atlético de Madrid;Spain;Attacker;59
73;2526;1filh68q6hdk921qkdo7rsvmc;Rodrigo Mendoza Martinez Moya;Rodrigo Mendoza;Rodrigo Mendoza;Rodrigo;Mendoza Martinez Moya;Club Atlético de Madrid;Spain;Midfielder;4
73;2526;1vyh50nfaq2kq5pmivpkc1psl;Dávid Hancko;Dávid Hancko;D. Hancko;Dávid;Hancko;Club Atlético de Madrid;Slovakia;Defender;17
73;2526;2hgczqjd0r748ye3zmqm0am1g;Alejandro Monserrate Pueyo;Jano Monserrate;Jano Monserrate;Alejandro;Monserrate Pueyo;Club Atlético de Madrid;Spain;Midfielder;27
73;2526;2yt9oajv9dkbju8tgy1g2nmqd;Jan Oblak;Jan Oblak;J. Oblak;Jan;Oblak;Club Atlético de Madrid;Slovenia;Goalkeeper;13
73;2526;2zbehd6nenvwugh8q2463pp1w;Juan Alegre Morales;Juan Alegre;Juan Alegre;Juan;Alegre Morales;Club Atlético de Madrid;Spain;Midfielder;66
73;2526;3gsprcdyogabeb8lr2y0bmytx;Clément Nicolas Laurent Lenglet;Clément Lenglet;C. Lenglet;Clément Nicolas Laurent;Lenglet;Club Atlético de Madrid;France;Defender;15
73;2526;3r18no51ujgvp939ws3fvo9re;Ilias Kostis;Ilias Kostis;I. Kostis;Ilias;Kostis;Club Atlético de Madrid;Greece;Defender;26
73;2526;3ub05nnpt9o7s387z6oj8vf56;João Lucas de Souza Cardoso;Johnny Cardoso;J. Cardoso;João Lucas;de Souza Cardoso;Club Atlético de Madrid;USA;Midfielder;5
73;2526;3x2l5xtyq8267u15ii0qxcg7o;Carlos Giménez Bachiller;Carlos Giménez;Carlos Giménez;Carlos;Giménez Bachiller;Club Atlético de Madrid;Spain;Defender;43
73;2526;40gxfsz7bgrkdudqewlpxzyzt;Javier Galán Gil;Javi Galán;Javi Galán;Javier;Galán Gil;Club Atlético de Madrid;Spain;Defender;21
73;2526;4925210zy04qv4cliok72f578;Omar Janneh Susso;Omar Janneh;Omar Janneh;Omar;Janneh Susso;Club Atlético de Madrid;Spain;Attacker;38
73;2526;4ea0sjczqa5ah1w720zlakkfe;Thiago Ezequiel Almada;Thiago Almada;T. Almada;Thiago Ezequiel;Almada;Club Atlético de Madrid;Argentina;Midfielder;11
73;2526;4zymyzw163unwfc1vzik0xtzo;Jorge Rajado Ruiz;Jorge Rajado;Jorge Rajado;Jorge;Rajado Ruiz;Club Atlético de Madrid;Spain;Midfielder;39
73;2526;51qvkjhgmbxersyfxzb8en1n8;Daniel Martínez Moreno;Dani Martinez;Dani Martínez;Daniel;Martínez Moreno;Club Atlético de Madrid;Spain;Defender;30
73;2526;548jzfl9higq44w9bgqvcjh05;José María Giménez de Vargas;José María Giménez;J. Giménez;José María;Giménez de Vargas;Club Atlético de Madrid;Uruguay;Defender;2
73;2526;5es43b4a7fv0lkmp63dj439ey;Giuliano Simeone Baldini;Giuliano Simeone;G. Simeone;Giuliano;Simeone Baldini;Club Atlético de Madrid;Argentina;Attacker;20
73;2526;5zoz3mjooujpv0wdcphyrztd6;Alejandro Baena Rodríguez;Álex Baena;Álex Baena;Alejandro;Baena Rodríguez;Club Atlético de Madrid;Spain;Midfielder;10
73;2526;68wuijmde8bwjn8wi5r0hxmqy;Mario de Luis Jiménez;Mario de Luis;Mario de Luis;Mario;de Luis Jiménez;Club Atlético de Madrid;Spain;Goalkeeper;33
73;2526;6akzpi6rd6qq0ke07ojnhpoet;Alexander Sørloth;Alexander Sørloth;A. Sørloth;Alexander;Sørloth;Club Atlético de Madrid;Norway;Attacker;9
73;2526;6dswrjvnakdr8gwun530inwgk;Rayane Belaid Khellil;Rayane Belaid;Rayane Belaid;Rayane;Belaid Khellil;Club Atlético de Madrid;Spain;Attacker;29
73;2526;6m5v97if055boykubm2hq8es;Javier Boñar Franco;Javier Boñar;Javier Boñar;Javier;Boñar Franco;Club Atlético de Madrid;Spain;Defender;32
73;2526;6wdf76fgg6h13ybmzeye3io7o;Aleksa Puric;Aleksa Puric;A. Puric;Aleksa;Puric;Club Atlético de Madrid;Serbia;Defender;40
73;2526;6xulax65kp4aid70nk7g5jr2t;Robin Aimé Robert Le Normand Mainfray;Robin Le Normand;Robin Le Normand;Robin Aimé Robert;Le Normand Mainfray;Club Atlético de Madrid;Spain;Defender;24
73;2526;716n1970vi9rvw5b4w9qmjfth;Antoine Griezmann;Antoine Griezmann;A. Griezmann;Antoine;Griezmann;Club Atlético de Madrid;France;Attacker;7
73;2526;76l4p3ybgp8a6l78gj9185bmc;Salvador Esquivel Gámez;Salvi Esquivel;Salvi Esquivel;Salvador;Esquivel Gámez;Club Atlético de Madrid;Spain;Goalkeeper;31
73;2526;7drgir9lcwfst8vxz07jboe6t;Juan Agustín Musso;Juan Musso;J. Musso;Juan Agustín;Musso;Club Atlético de Madrid;Argentina;Goalkeeper;1
73;2526;7mvqysbmyf6uj3jny3qpqw2ga;Matteo Ruggeri;Matteo Ruggeri;M. Ruggeri;Matteo;Ruggeri;Club Atlético de Madrid;Italy;Defender;3
73;2526;7u0urbn4r5oqtmlt13jev651w;Sergio Esteban Sánchez;Sergio Esteban;Sergio Esteban;Sergio;Esteban Sánchez;Club Atlético de Madrid;Spain;Attacker;45
73;2526;8d04q3yp2kouwog0lj0s7ew2x;Ademola Olajade Alade Aylola Lookman;Ademola Lookman;A. Lookman;Ademola Olajade;Alade Aylola Lookman;Club Atlético de Madrid;Nigeria;Attacker;22
73;2526;9e7ybe0nsu3byq2tteey3zuy2;Pablo Barrios Rivas;Pablo Barrios;Pablo Barrios;Pablo;Barrios Rivas;Club Atlético de Madrid;Spain;Midfielder;8
73;2526;9i0zcx8u1isqf9q0iy4m3p27e;Javier Serrano Martínez;Javi Serrano;Javi Serrano;Javier;Serrano Martínez;Club Atlético de Madrid;Spain;Midfielder;42
73;2526;9ikkuxd19avliz1khcrm82gyy;Julián Alvarez;Julián Alvarez;J. Alvarez;Julián;Alvarez;Club Atlético de Madrid;Argentina;Attacker;19
73;2526;9mh4ven84dualv113vxinqn10;Julio Díaz del Romo;Julio Díaz;Julio Díaz;Julio;Díaz del Romo;Club Atlético de Madrid;Spain;Midfielder;34
73;2526;a9olh86vdqnby3hz8ibwfq784;Iker Luque Sierra;Iker Luque;Iker Luque;Iker;Luque Sierra;Club Atlético de Madrid;Spain;Attacker;37
73;2526;abq67eup8kd31w8da2i0eftgp;Giacomo Raspadori;Giacomo Raspadori;G. Raspadori;Giacomo;Raspadori;Club Atlético de Madrid;Italy;Attacker;22
73;2526;amxunh6enoc99r07cp7qt621h;Marcos Llorente Moreno;Marcos Llorente;Marcos Llorente;Marcos;Llorente Moreno;Club Atlético de Madrid;Spain;Midfielder;14
73;2526;b9kfek16otvdorssn0wzkb36d;Jorge Resurrección Merodio;Jorge Resurrección Merodio;Koke;Jorge;Resurrección Merodio;Club Atlético de Madrid;Spain;Midfielder;6
73;2526;c83h08n0vnjvfgglyefy03h0p;Conor John Gallagher;Conor Gallagher;C. Gallagher;Conor John;Gallagher;Club Atlético de Madrid;England;Midfielder;4
73;2526;c90gk99jn34wxtlad784hpnv8;Carlos Martín Domínguez;Carlos Martín;Carlos Martín;Carlos;Martín Domínguez;Club Atlético de Madrid;Spain;Attacker;12
73;2526;coalbuc6rmbt46dbbu0vusv10;Darío Frey Sánchez;Darío Frey;Darío Frey;Darío;Frey Sánchez;Club Atlético de Madrid;Spain;Midfielder;65
73;2526;d0kzduhj90areaill2gvvw6xg;Marc Pubill Pagès;Marc Pubill;Marc Pubill;Marc;Pubill Pagès;Club Atlético de Madrid;Spain;Defender;18
73;2526;eh1ul4duphy1iz4odwx9tkjjd;Nicolás Iván González;Nico González;N. González;Nicolás Iván;González;Club Atlético de Madrid;Argentina;Attacker;23
73;2526;ieu0x9fy8hpqyztdjg8bgpnt;Nahuel Molina Lucero;Nahuel Molina;N. Molina;Nahuel;Molina Lucero;Club Atlético de Madrid;Argentina;Defender;16
73;2526;q00t04zyy8idanvhpee3ubu2;Obed Gómez Vargas;Obed Vargas;O. Vargas;Obed Gómez;Vargas;Club Atlético de Madrid;Mexico;Midfielder;21
73;2526;119jg0tkn5d9rfj233wd1uzv8;Egoitz Muñoz Larrea;Egoitz Muñoz;Egoitz Muñoz;Egoitz;Muñoz Larrea;Deportivo Alavés;Spain;Defender;27
73;2526;16mj3l623plqx1hm9zvpvn5yh;Carlos Nahuel Benavídez Protesoni;Carlos Protesoni;C. Protesoni;Carlos Nahuel;Benavídez Protesoni;Deportivo Alavés;Uruguay;Midfielder;23
73;2526;1lp5aeozyzmj6jbyy5tco6xas;Izei Hernández Cañas;Izei Hernandez;Izei Hernández;Izei;Hernández Cañas;Deportivo Alavés;Spain;Attacker;32
73;2526;1nd8l0ofw9x779c0ufwbbo4ph;Antonio Martínez López;Toni Martínez;Toni Martínez;Antonio;Martínez López;Deportivo Alavés;Spain;Attacker;11
