league;season;rank;team;points;matches_played;wins;draws;losses;goals_for;goals_against
73;2526;1;FC Barcelona;49;26;14;5;7;32;17
73;2526;2;Real Madrid CF;49;26;13;3;10;24;8
73;2526;3;CA Osasuna;48;26;12;2;12;17;7
73;2526;4;Villarreal CF;44;26;12;6;8;21;11
73;2526;5;Girona FC;40;26;11;8;7;13;16
73;2526;6;Club Atlético de Madrid;40;26;8;2;16;19;11
73;2526;7;Real Betis Balompié;36;26;9;8;9;19;16
73;2526;8;Real Sociedad de Fútbol;36;26;9;8;9;15;17
73;2526;9;Rayo Vallecano de Madrid;31;25;7;8;10;14;11
73;2526;10;Levante UD;30;26;7;10;9;10;18
73;2526;11;Sevilla FC;30;26;6;8;12;13;16
73;2526;12;Real Club Celta de Vigo;30;26;6;8;12;10;12
73;2526;13;Athletic Club;29;26;5;7;14;13;14
73;2526;14;Elche CF;29;26;5;7;14;13;15
73;2526;15;Deportivo Alavés;28;26;4;6;16;10;11
73;2526;16;Reial Club Deportiu Espanyol de Barcelona;25;26;4;9;13;10;16
73;2526;17;Valencia CF;24;26;4;10;12;6;14
73;2526;18;Real Oviedo;24;25;4;9;12;5;14
73;2526;19;Getafe CF;24;26;3;8;15;6;11
73;2526;20;Real Club Deportivo Mallorca;18;26;3;14;9;11;26
