league;season;id;name;short_name;match_name;first_name;last_name;team;nationality;type
73;2526;7lm461v9oys1wukz06yzb2jh0;Sebastián Parrilla Simione;Sebastián Parrilla;S. Parrilla;Sebastián;Parrilla Simione;Real Madrid CF;Argentina;assistant coach
73;2526;9asmnqs6vdk7dyhusglr5phat;Xabier Alonso Olano;Xabi Alonso;Xabi Alonso;Xabier;Alonso Olano;Real Madrid CF;Spain;coach
73;2526;4v2lxgx7zxxc461i1wzvnk79x;Luis Miguel Carrión Delgado;Luis Carrión;Luis Carrión;Luis Miguel;Carrión Delgado;Real Oviedo;Spain;coach
73;2526;66rkp7va5kan2jy0osxdfqsb9;Mikel Rico Moreno;Mikel Rico;Mikel Rico;Mikel;Rico Moreno;Real Oviedo;Spain;assistant coach
73;2526;7niq07vftk4ow6agbt2l849g5;Claudio David Arzeno Pessuto;Claudio Arzeno;Claudio Arzeno;Claudio David;Arzeno Pessuto;Real Oviedo;Argentina;assistant coach
73;2526;89x145d9lb1hzx7ryeipf9kut;Veljko Paunović;Veljko Paunovic;V. Paunović;Veljko;Paunović;Real Oviedo;Serbia;coach
73;2526;8kfldbd8rbvb27eywepajhivp;Jorge Guillermo Almada Álves;Guillermo Almada;G. Almada;Jorge Guillermo;Almada Álves;Real Oviedo;Uruguay;coach
73;2526;8u55bqalfmyjvoeqov0at0ezt;Darwin Ariel Quintana Mestrallet;Darwin Quintana;D. Quintana;Darwin Ariel;Quintana Mestrallet;Real Oviedo;Uruguay;assistant coach
73;2526;2j3sfyq2qq34su1o7l8gri505;Jon Ansotegi Gorostola;Jon Ansotegi;Ansotegi;Jon;Ansotegi Gorostola;Real Sociedad de Fútbol;Spain;coach
73;2526;30m7eb5yye9rrrkywi4rf1zh1;Ömer Toprak;Ömer Toprak;Ö. Toprak;Ömer;Toprak;Real Sociedad de Fútbol;Türkiye;assistant coach
73;2526;6faut9r0pohp3dio8w9i4jm22;John Maisano; ;J. Maisano;John;Maisano;Real Sociedad de Fútbol;Australia;assistant coach
73;2526;8boucefdmnhq8qmrt6r9o5ck;Iosu Rivas Carranza;Iosu Rivas;Iosu Rivas;Iosu;Rivas Carranza;Real Sociedad de Fútbol;Spain;assistant coach
73;2526;8kbjtj6viu2otlr167kva11p1;Sergio Francisco Ramos;Sergio Francisco;Sergio Francisco;Sergio;Francisco Ramos;Real Sociedad de Fútbol;Spain;coach
73;2526;b3tuy4l2g97qd67kz5pu5rp3p;Pellegrino Matarazzo;Pellegrino Matarazzo;P. Matarazzo;Pellegrino;Matarazzo;Real Sociedad de Fútbol;USA;coach
73;2526;2e0sebn7a8mcnfa90kdn7ckb9;José Manuel González Álvarez;José Manuel González Álvarez;Manolo González;José Manuel;González Álvarez;Reial Club Deportiu Espanyol de Barcelona;Spain;coach
73;2526;cr11tcefxo20wg6662p3zjcpg;Gerard Garrido;Gerard Garrido;Gerard Garrido;Gerard;Garrido;Reial Club Deportiu Espanyol de Barcelona;Spain;assistant coach
73;2526;1k0rhc28zdsi5rrwoq5k96h1x;Francisco Javier Martínez Rodríguez;Francisco Javier Martínez Rodríguez;Javi Martínez;Francisco Javier;Martínez Rodríguez;Sevilla FC;Spain;assistant coach
73;2526;d5e7y68x8mfgki7ukvx7na0np;Matías Jesús Almeyda;Matías Almeyda;M. Almeyda;Matías Jesús;Almeyda;Sevilla FC;Argentina;coach
73;2526;8ptaunwf8u1vnm6nwcm9jyo7o;Jorge Alarcón;Jorge Alarcón;Jorge Alarcón;Jorge;Alarcón;Valencia CF;Spain;assistant coach
73;2526;e6vbc7hgm4rz3o95vckqwx8fd;Carlos Corberán Vallet;Carlos Corberán;Carlos Corberán;Carlos;Corberán Vallet;Valencia CF;Spain;coach
73;2526;5si50dq9be9264rxt7td0padx;Marcelino García Toral;Marcelino García;Marcelino;Marcelino;García Toral;Villarreal CF;Spain;coach
73;2526;9cf5u13l80bazmk7ncxqu1u51;Juan Rubén Uría Corral;Rubén Uría;Rubén Uría;Juan Rubén;Uría Corral;Villarreal CF;Spain;assistant coach
