league;season;rank;status;team;points;matches_played;wins;draws;losses;goals_for;goals_against
73;2526;1;UEFA Champions League;FC Barcelona;64;26;21;4;1;71;26
73;2526;2;UEFA Champions League;Real Madrid CF;60;26;19;4;3;54;22
73;2526;3;UEFA Champions League;Club Atlético de Madrid;51;26;15;5;6;43;23
73;2526;4;UEFA Champions League;Villarreal CF;51;26;16;7;3;48;31
73;2526;5;UEFA Europa League;Real Betis Balompié;43;26;11;5;10;42;32
73;2526;6;UEFA Conference League Qualifiers;Real Club Celta de Vigo;40;26;10;6;10;36;28
73;2526;7;;Reial Club Deportiu Espanyol de Barcelona;36;26;10;10;6;33;39
73;2526;8;;Real Sociedad de Fútbol;35;26;9;9;8;38;38
73;2526;9;;Athletic Club;35;26;10;11;5;30;36
73;2526;10;;CA Osasuna;33;26;9;11;6;30;30
73;2526;11;;Getafe CF;32;26;9;12;5;21;29
73;2526;12;;Sevilla FC;30;26;8;12;6;34;41
73;2526;13;;Girona FC;30;26;7;10;9;27;42
73;2526;14;;Valencia CF;29;26;7;11;8;27;39
73;2526;15;;Rayo Vallecano de Madrid;27;25;6;10;9;23;32
73;2526;16;;Deportivo Alavés;27;26;7;13;6;23;34
73;2526;17;;Elche CF;26;26;5;10;11;34;39
73;2526;18;Relegation;Real Club Deportivo Mallorca;24;26;6;14;6;29;42
73;2526;19;Relegation;Levante UD;21;26;5;15;6;28;44
73;2526;20;Relegation;Real Oviedo;17;25;3;14;8;16;40
