match_id;player_idss;teamss;opponent;player;positionss;shirt_number;totalPassss;accuratePassss;totalLongBalls;accurateLongBalls;goalAssistss;accurateOwnHalfPasses;totalOwnHalfPasses;accurateOppositionHalfPasses;totalOppositionHalfPasses;ballRecovery;savedShotsFromInsideTheBox;penaltyFaced;savesss;totalKeeperSweeper;accurateKeeperSweeper;minutesPlayed;touches;rating;possessionLostCtrl;expectedAssists;totalBallCarriesDistance;ballCarriesCount;totalProgression;keeperSaveValue;totalShots;goalsPrevented;passValueNormalized;dribbleValueNormalized;defensiveValueNormalized;goalkeeperValueNormalized;totalCross;aerialLost;aerialWon;duelLost;duelWon;totalContest;shotOffTargetss;totalClearancess;outfielderBlock;interceptionWon;wasFouledss;foulsss;totalOffsidess;expectedGoals;bestBallCarryProgression;totalProgressiveBallCarriesDistance;progressiveBallCarriesCount;shotValueNormalized;challengeLost;totalTackless;wonTackless;unsuccessfulTouch;dispossessed;onTargetScoringAttempt;penaltyConceded;expectedGoalsOnTarget;keyPass;wonContest;accurateCross;bigChanceCreated;bigChanceMissed;goodHighClaim;blockedScoringAttempt;goalsss;penaltyWon;errorLeadToAShot;lastManTackle;hitWoodwork;errorLeadToAGoal;punches;ownGoals;penaltySave;penaltyMiss;league;season;match;match_slug;teamsw;player_idsw;name;short_name;match_name;positionsw;pos_side;formation_place;accuratePasssw;gameStarted;goalKicks;goalsConceded;minsPlayed;savessw;totalPasssw;formationPlace;foulssw;lostCorners;totalClearancesw;totalOffsidesw;totalTacklesw;totalThrows;wasFouledsw;wonTacklesw;yellowCard;shotOffTargetsw;totalScoringAtt;totalSubOff;blockedScoringAtt;wonCorners;cornerTaken;totalSubOn;cleanSheet;goalssw;ontargetScoringAtt;goalAssistsw;Venue
14083327;97951;Valencia;Real Madrid;Stole Dimitrievski;G;1;37.0;19.0;29.0;11.0;0.0;11.0;11.0;8.0;26.0;8.0;2.0;0.0;4.0;0.0;0.0;90.0;45.0;6.8;18.0;0.00231378;97.075296019418;13.0;76.127360121739;0.4279;0;-0.7043;0.05;0.02;-0.15;0.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;Valencia;5dfvefxvwj8kixbajluw25mtx;Stole Dimitrievski;Stole Dimitrievski;S. Dimitrievski;Goalkeeper;Centre;1;19;1;3;2;90;4;37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Home
14083327;892521;Valencia;Real Madrid;Unai Núñez;D;4;26.0;20.0;5.0;3.0;0.0;10.0;14.0;10.0;12.0;1.0;0.0;0.0;0.0;0.0;0.0;72.0;51.0;7.0;6.0;0.00435458;63.718687206713;7.0;16.824054842271;0.0;1;0.0;0.04;0.06;0.23;0.0;0.0;3.0;3.0;4.0;7.0;0.0;1.0;6.0;0.0;2.0;1.0;0.0;0.0;0.0204;0.0;0.0;0.0;-0.07;1.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;Valencia;e8s9ssopq5nmp51zymvqp8jbp;Unai Núñez Gestoso;Unai Núñez;Unai Núñez;Defender;Right;2;20;1;0;1;72;0;26;2;0;1;6;0;3;9;1;2;0;1;1;1;0;0;0;0;0;0;0;0;Home
14083327;814023;Valencia;Real Madrid;Eray Cömert;D;24;40.0;33.0;7.0;2.0;0.0;25.0;27.0;8.0;13.0;2.0;0.0;0.0;0.0;0.0;0.0;90.0;52.0;6.6;7.0;0.00276753;90.203973384768;15.0;17.48184011798;0.0;0;0.0;0.04;0.02;0.24;0.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;8.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;Valencia;5uig03vbbv71f0q31cp3vfbv9;Eray Ervin Cömert;Eray Cömert;E. Cömert;Defender;Centre/Right;5;33;1;0;2;90;0;40;5;0;1;8;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Home
14083327;913695;Valencia;Real Madrid;José Copete;D;3;36.0;31.0;3.0;2.0;0.0;20.0;20.0;11.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;90.0;45.0;6.3;5.0;0.00261206;54.259497930251;9.0;22.42153378941;0.0;0;0.0;0.05;0.04;-0.28;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;5.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;Valencia;3n66mcws9belxbv3pu5uwhfu2;José Manuel Arias Copete;José Manuel Arias Copete;Copete;Defender;Left/Centre;6;31;1;3;2;90;0;36;6;1;1;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;Home
14083327;227922;Valencia;Real Madrid;José Luis Gayà;D;14;30.0;24.0;1.0;0.0;0.0;11.0;13.0;13.0;17.0;1.0;0.0;0.0;0.0;0.0;0.0;90.0;50.0;6.5;12.0;0.0250601;39.609294969575;8.0;25.397951641676;0.0;0;0.0;0.05;0.03;-0.3;0.0;3.0;0.0;0.0;3.0;5.0;1.0;0.0;2.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;Valencia;5b1q9bpe23j98eoy4fwi7ld5h;José Luis Gayà Peña;José Gayà;José Gayà;Defender;Left;3;24;1;0;2;90;0;30;3;1;3;2;1;4;7;1;2;0;0;0;0;0;0;0;0;0;0;0;0;Home
14083327;900433;Valencia;Real Madrid;Luis Rioja;M;11;24.0;19.0;2.0;1.0;0.0;6.0;8.0;13.0;16.0;5.0;0.0;0.0;0.0;0.0;0.0;81.0;45.0;6.5;19.0;0.0553575;128.65899123152;14.0;58.448101455923;0.0;1;0.0;0.03;0.19;0.17;0.0;9.0;1.0;1.0;4.0;2.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.025;18.35259458877;29.511346445054;1.0;-0.1;0.0;1.0;1.0;3.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;Valencia;6kc8ieszwg6u00e3sa554y7yt;Luis Jesús Rioja González;Luis Rioja;Luis Rioja;Midfielder;Right;7;19;1;0;1;81;0;24;7;0;0;2;0;1;2;0;1;0;0;1;1;1;1;4;0;0;0;0;0;Home
14083327;826948;Valencia;Real Madrid;Pepelu;M;18;35.0;28.0;1.0;0.0;0.0;19.0;20.0;9.0;15.0;7.0;0.0;0.0;0.0;0.0;0.0;72.0;48.0;6.9;8.0;0.0061596;121.35989429668;9.0;95.547966308816;0.0;1;0.0;-0.02;0.29;0.33;0.0;0.0;2.0;2.0;3.0;5.0;0.0;1.0;4.0;0.0;2.0;2.0;0.0;0.0;0.0289;52.809098280253;53.197775150846;1.0;-0.14;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;Valencia;3702btkgwxf6tq92ouekd7ro5;José Luis García Vayá;José Luis García Vayá;Pepelu;Midfielder;Centre/Right;4;28;1;0;1;72;0;35;4;0;0;4;0;1;0;2;0;0;1;1;1;0;0;0;0;0;0;0;0;Home
14083327;857482;Valencia;Real Madrid;Filip Ugrinić;M;23;34.0;29.0;1.0;0.0;0.0;14.0;16.0;15.0;18.0;3.0;0.0;0.0;0.0;0.0;0.0;81.0;46.0;6.7;9.0;0.0753776;81.707489512921;11.0;8.6227694931957;0.0;0;0.0;0.12;0.04;0.15;0.0;2.0;0.0;0.0;3.0;3.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;Valencia;94md3wf5xab5mnj5niiwq33zd;Filip Ugrinic;Filip Ugrinic;F. Ugrinic;Midfielder;Left/Centre;8;29;1;0;1;81;0;34;8;0;0;1;0;1;0;2;1;0;0;0;1;0;0;1;0;0;0;0;0;Home
14083327;827064;Valencia;Real Madrid;Arnaut Danjuma;M;7;19.0;14.0;0.0;0.0;0.0;2.0;2.0;12.0;17.0;2.0;0.0;0.0;0.0;0.0;0.0;90.0;32.0;6.4;13.0;0.0394319;220.8620542766;16.0;81.975592209373;0.0;1;0.0;-0.19;0.43;-0.09;0.0;4.0;0.0;0.0;3.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0721;23.253507501618;83.966124235391;4.0;-0.1;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;Valencia;4rktv6j9sioe0gmu7jt77fsh5;Arnaut Danjuma Adam Groeneveld;Arnaut Danjuma;A. Danjuma;Midfielder;Left;11;14;1;0;2;90;0;19;11;0;1;1;0;1;0;0;1;0;0;1;0;1;3;0;0;0;0;0;0;Home
14083327;962029;Valencia;Real Madrid;Lucas Beltrán;F;15;24.0;21.0;1.0;1.0;0.0;6.0;8.0;15.0;16.0;6.0;0.0;0.0;0.0;0.0;0.0;82.0;49.0;6.7;9.0;0.105366;116.32574154577;9.0;38.776103901801;0.0;2;0.0;0.26;0.13;0.14;0.0;1.0;2.0;0.0;11.0;8.0;3.0;2.0;2.0;0.0;1.0;4.0;5.0;0.0;0.2662;13.612230430932;21.358706796059;1.0;-0.51;1.0;3.0;2.0;2.0;2.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;Valencia;a6ud2u88utl6khwf0c4qbdox6;Lucas Ezequiel Beltrán;Lucas Beltrán;L. Beltrán;Striker;Centre/Right;10;21;1;0;1;82;0;24;10;5;0;2;0;3;0;4;2;0;2;2;1;0;1;0;0;0;0;0;0;Home
