match_id;team;opponent;Ball possession;Expected goals;Big chances;Total shots;Goalkeeper saves;Corner kicks;Fouls;Passes;Tackles;Free kicks;Yellow cards;Shots on target;Hit woodwork;Shots off target;Blocked shots;Shots inside box;Shots outside box;Big chances scored;Big chances missed;Through balls;Touches in penalty area;Fouled in final third;Offsides;Accurate passes;Throw-ins;Final third entries;Final third phase;Long balls;Crosses;Duels;Dispossessed;Ground duels;Aerial duels;Dribbles;Tackles won;Total tackles;Interceptions;Recoveries;Clearances;Total saves;Goals prevented;Big saves;High claims;Goal kicks;Red cards;Errors lead to a shot;Errors lead to a goal;Punches;Penalty saves;league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalKicks;goalsConceded;lostCorners;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;cleanSheet;goalAssist;goals;ontargetScoringAtt;dominium
14083327;Valencia;Real Madrid;40;0.44;1;7;4;5;10;359;18;13;1.0;0;1;5;2;4;3;0.0;1;1.0;21;0;1;283;21;45;57;21;4;49;10;33;11;2;12;18;10;41;33;4;-0.7043;2;1.0;6;0.0;0.0;0.0;0.0;0.0;73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;ba5e91hjacvma2sjvixn00pjo;442;e6vbc7hgm4rz3o95vckqwx8fd;Carlos Corberán Vallet;home;#fdfcfc;#000000;283;2;5;10;13;6;2;8;39.9;4;5;5;33;1;359;7;18;21;1;5;12;442;0;0;0;0;0.3107344632768362
14083327;Real Madrid;Valencia;60;0.96;2;11;0;8;13;558;17;10;1.0;6;0;4;1;7;4;1.0;1;1.0;20;1;3;495;16;76;154;18;1;51;10;30;16;5;12;17;3;41;27;0;0.0;0;0.0;7;0.0;1.0;0.0;0.0;0.0;73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;3kq9cckrnlogidldtdie2fkbl;442;4nclyvzibmrs9tt903ccbythx;Álvaro Arbeloa Coca;away;#016fc1;0;495;1;8;13;8;7;0;5;60.1;0;4;4;27;3;558;11;17;16;1;8;12;442;1;2;2;6;0.6892655367231638
