league,season,id,name,slug,short_name,team,pref_formation,country,date_birth,matches,wins,draws,losses,goals_for,goals_against,points,match_name,first_name,last_name,nationality,type,def_team
73,2526,8l5of7q12agsw80s400vqj7x1,Toni Tapalović,,Toni Tapalovic,Barcelona,,,,,,,,,,,T. Tapalović,Toni,Tapalović,Croatia,assistant coach,Barcelona
73,2526,ekb4spj71knd9zzmdb6y736ga,Roberto Fernández Martínez,,Rober Fernández,Celta de Vigo,,,,,,,,,,,Rober Fernández,Roberto,Fernández Martínez,Spain,assistant coach,Celta de Vigo
73,2526,8c7gv6syowflyvpftmzcwh8no,Jon López Sáenz,,Jon Lopez,Elche,,,,,,,,,,,Jon López,Jon,López Sáenz,Spain,assistant coach,Elche
73,2526,cr11tcefxo20wg6662p3zjcpg,Gerard Garrido,,Gerard Garrido,Espanyol,,,,,,,,,,,Gerard Garrido,Gerard,Garrido,Spain,assistant coach,Espanyol
73,2526,28kjxeavcr2ptz1d53gc3qhh,Patricio Moreno Ruiz,,Patri Moreno,Getafe,,,,,,,,,,,Patri,Patricio,Moreno Ruiz,Spain,assistant coach,Getafe
73,2526,ik61f0o3bzocvec2rjeyc34l,Salvador Fúnez Sardina,,Salva Fúnez,Girona,,,,,,,,,,,Salva,Salvador,Fúnez Sardina,Spain,assistant coach,Girona
73,2526,3qnwqx4kj3yu2sb0e7fjz42s4,Carlos Garcia Navarro,,Carlos Garcia,Levante,,,,,,,,,,,Carlos Garcia,Carlos,Garcia Navarro,Spain,assistant coach,Levante
73,2526,f5567t48q0846fsnq6d3mqfv9,Vicente Iborra de la Fuente,,Vicente Iborra,Levante,,,,,,,,,,,Vicente Iborra,Vicente,Iborra de la Fuente,Spain,assistant coach,Levante
73,2526,70r1x2ngcgj9ug7n184mbvsgl,Gustavo Lionel Siviero,,Gustavo Siviero,Mallorca,,,,,,,,,,,G. Siviero,Gustavo Lionel,Siviero,Argentina,assistant coach,Mallorca
73,2526,8jf23dy5fv4tun6r8q5ops2j9,Bittor Alkiza Fernández,,Bittor Alkiza,Mallorca,,,,,,,,,,,Bittor Alkiza,Bittor,Alkiza Fernández,Spain,assistant coach,Mallorca
73,2526,73rn9gits3tertvadno7g136y,José María Sanz Sánchez,,José María Sanz Sánchez,Osasuna,,,,,,,,,,,Chema Sanz,José María,Sanz Sánchez,Spain,assistant coach,Osasuna
73,2526,d3rtgcyevphotz64z7ev536j9,Adrián López Álvarez,,Adrián López,Rayo Vallecano,,,,,,,,,,,Adrián López,Adrián,López Álvarez,Spain,assistant coach,Rayo Vallecano
73,2526,6ou7wr807q5vpe7wc1jxsngt1,Rubén Cousillas Fuse,,Ruben Cousillas,Real Betis,,,,,,,,,,,R. Cousillas,Rubén,Cousillas Fuse,Argentina,assistant coach,Real Betis
73,2526,426tiaxzy45r0q8lgdsn44y6s,Julián Carmona Villanueva,,Julián Carmona,Real Madrid,,,,,,,,,,,Julián Carmona,Julián,Carmona Villanueva,Spain,assistant coach,Real Madrid
73,2526,7lm461v9oys1wukz06yzb2jh0,Sebastián Parrilla Simione,,Sebastián Parrilla,Real Madrid,,,,,,,,,,,S. Parrilla,Sebastián,Parrilla Simione,Argentina,assistant coach,Real Madrid
73,2526,66rkp7va5kan2jy0osxdfqsb9,Mikel Rico Moreno,,Mikel Rico,Real Oviedo,,,,,,,,,,,Mikel Rico,Mikel,Rico Moreno,Spain,assistant coach,Real Oviedo
73,2526,7niq07vftk4ow6agbt2l849g5,Claudio David Arzeno Pessuto,,Claudio Arzeno,Real Oviedo,,,,,,,,,,,Claudio Arzeno,Claudio David,Arzeno Pessuto,Argentina,assistant coach,Real Oviedo
73,2526,8u55bqalfmyjvoeqov0at0ezt,Darwin Ariel Quintana Mestrallet,,Darwin Quintana,Real Oviedo,,,,,,,,,,,D. Quintana,Darwin Ariel,Quintana Mestrallet,Uruguay,assistant coach,Real Oviedo
73,2526,30m7eb5yye9rrrkywi4rf1zh1,Ömer Toprak,,Ömer Toprak,Real Sociedad,,,,,,,,,,,Ö. Toprak,Ömer,Toprak,Türkiye,assistant coach,Real Sociedad
73,2526,6faut9r0pohp3dio8w9i4jm22,John Maisano,, ,Real Sociedad,,,,,,,,,,,J. Maisano,John,Maisano,Australia,assistant coach,Real Sociedad
73,2526,8boucefdmnhq8qmrt6r9o5ck,Iosu Rivas Carranza,,Iosu Rivas,Real Sociedad,,,,,,,,,,,Iosu Rivas,Iosu,Rivas Carranza,Spain,assistant coach,Real Sociedad
73,2526,1k0rhc28zdsi5rrwoq5k96h1x,Francisco Javier Martínez Rodríguez,,Francisco Javier Martínez Rodríguez,Sevilla,,,,,,,,,,,Javi Martínez,Francisco Javier,Martínez Rodríguez,Spain,assistant coach,Sevilla
73,2526,8ptaunwf8u1vnm6nwcm9jyo7o,Jorge Alarcón,,Jorge Alarcón,Valencia,,,,,,,,,,,Jorge Alarcón,Jorge,Alarcón,Spain,assistant coach,Valencia
73,2526,9cf5u13l80bazmk7ncxqu1u51,Juan Rubén Uría Corral,,Rubén Uría,Villarreal,,,,,,,,,,,Rubén Uría,Juan Rubén,Uría Corral,Spain,assistant coach,Villarreal
