league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cleanSheet;cornerTaken;fkFoulLost;fkFoulWon;goalKicks;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4grc9qgcvusllap8h5j6gc5h5;4231;8529f9juq33g6w59a1jpddysq;Luís Manuel Ferreira de Castro;home;#003399;#C10B57;341;4;1;4;11;12;7;7;2;44.9;4;4;5;20;1;424;10;15;16;2;4;11;4231
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4ku8o6uf87yd8iecdalipo6wd;442;b50ny8f8cz813cd7t9kknif9x;Diego Pablo Simeone González;home;#FF0000;#FFFFFF;438;2;1;7;12;10;6;4;4;55.1;2;4;6;29;3;512;10;25;19;1;7;10;442
