league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;50x1m4u58lffhq6v6ga1hbxmy;4231;f2i75nau3bjkt1i54farofmqd;Jagoba Arrasate Elustondo;home;#FF0000;#000000;538;3;7;16;8;1;5;1;2;3;3;64.7;5;8;5;12;1;616;14;8;25;4;7;7;4231
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;ah8dala7suqqkj04n2l8xz4zd;433;dazth1gr1i3s9s13b8ry48atx;Manuel Luis Pellegrini Ripamonti;away;#BADAE4;#00CC33;280;4;3;10;15;1;15;2;1;7;8;35.3;2;5;4;49;0;342;17;11;8;3;3;7;433
