league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;shotOffTarget;subsGoals;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;saves
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;433;ebm098y98ctdw0zs1l1kvnt62;Hans-Dieter Flick;home;#990000;#000099;711;3;3;11;8;4;4;4;1;2;8;73.6;8;1;5;14;3;778;19;15;18;2;3;7;433;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;442;5si50dq9be9264rxt7td0padx;Marcelino García Toral;home;#FFFF00;#000000;204;2;2;9;10;1;9;1;4;3;1;26.4;3;0;5;22;5;271;6;23;20;1;2;16;442;4
