league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsGoals;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;c8llrezkm3b3op4afrou6b487;4231;2e0sebn7a8mcnfa90kdn7ckb9;José Manuel González Álvarez;home;#FFFFFF;#0066FF;323;3;2;9;11;1;8;2;2;2;3;42.8;2;3;2;5;17;1;393;9;18;13;1;2;11;4231
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;6f27yvbqcngegwsg2ozxxdj4;343;e2ntrys15j912zpqy0xb4lg45;Claudio Giráldez González;third;#F699AF;0;481;3;2;11;9;2;8;2;2;2;5;57.2;1;6;0;5;40;2;544;14;8;15;0;2;7;343
