league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalKicks;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;cleanSheet;goalAssist;goals
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;4ku8o6uf87yd8iecdalipo6wd;442;b50ny8f8cz813cd7t9kknif9x;Diego Pablo Simeone González;home;#FF0000;#FFFFFF;605;1;7;12;3;5;1;3;5;64.9;3;4;5;10;6;678;10;7;15;4;7;4;442;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;ah8dala7suqqkj04n2l8xz4zd;433;dazth1gr1i3s9s13b8ry48atx;Manuel Luis Pellegrini Ripamonti;away;#BADAE4;#00CC33;304;1;3;3;11;13;0;7;4;35.1;5;3;4;35;1;371;8;15;12;1;3;8;433;1;1;1
