league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsGoals;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;totalRedCard
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;3czravw89omgc9o4s0w3l1bg5;4231;dbdq6fyl44p43la2s5q9suehh;Ernesto Valverde Tejedor;home;#FF0000;#FFFFFF;437;6;4;17;10;4;4;4;2;3;7;55.4;1;9;1;6;23;3;502;22;10;16;2;4;7;4231;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;4grc9qgcvusllap8h5j6gc5h5;4231;8529f9juq33g6w59a1jpddysq;Luís Manuel Ferreira de Castro;third;#33FF99;0;314;1;3;10;17;0;13;2;4;4;3;44.6;3;2;2;6;20;3;400;6;13;12;1;3;7;4231;1
