league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;penaltyWon;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;goalAssist;penGoalsConceded;penaltyConceded;penaltyFaced;secondYellow;totalRedCard
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;4yg9ttzw0m51048doksv8uq5r;352;8c7gv6syowflyvpftmzcwh8no;Jon López Sáenz;home;#FFFFFF;#339966;524;5;3;14;21;4;2;2;1;9;1;70.5;2;3;5;24;2;594;17;6;18;1;3;4;352;0;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;c8llrezkm3b3op4afrou6b487;4411;2e0sebn7a8mcnfa90kdn7ckb9;José Manuel González Álvarez;third;#345578;0;172;2;1;23;10;10;2;2;3;4;0;29.5;6;3;5;40;1;249;9;12;10;4;1;7;4411;2;1;1;1;1;1
