league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsGoals;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;totalRedCard
73;2526;288lesgslzcbljs163839jl04;ath-rso;3czravw89omgc9o4s0w3l1bg5;4231;dbdq6fyl44p43la2s5q9suehh;Ernesto Valverde Tejedor;home;#FF0000;#FFFFFF;333;9;6;14;12;1;4;1;1;3;4;54.7;4;6;1;5;13;3;421;19;13;23;4;6;6;4231;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;63f5h8t5e9qm1fqmvfkb23ghh;442;b3tuy4l2g97qd67kz5pu5rp3p;Pellegrino Matarazzo;home;#FFFFFF;#0000FF;273;0;3;14;13;1;12;1;1;6;6;45.3;3;2;0;5;58;5;360;8;29;22;2;3;17;442;1
