league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalKicks;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;wonCorners;wonTackle;formationUsed;cleanSheet;goals;totalYellowCard
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;50x1m4u58lffhq6v6ga1hbxmy;433;70r1x2ngcgj9ug7n184mbvsgl;Gustavo Lionel Siviero;home;#FF0000;#000000;352;2;3;6;22;10;1;7;1;44.2;1;3;5;19;1;425;6;4;14;3;3;433;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;63f5h8t5e9qm1fqmvfkb23ghh;4231;b3tuy4l2g97qd67kz5pu5rp3p;Pellegrino Matarazzo;home;#FFFFFF;#0000FF;460;3;7;22;6;10;0;3;2;55.8;1;7;4;15;0;546;12;13;18;7;8;4231;1;1;2
