league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;penaltyConceded;penaltyFaced;possessionPercentage;saves;shotOffTarget;subsGoals;subsMade;totalClearance;totalOffside;totalPass;totalRedCard;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;penaltyWon
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;7h7eg7q7dbwvzww78h9d5eh0h;4231;jkox030vlb7xszen474w83px;Miguel Ángel Sánchez Muñoz;home;#FFFFFF;#FFFFFF;238;1;3;10;6;2;9;2;1;7;9;1;1;29.4;4;3;1;4;44;4;308;1;13;19;8;1;3;11;4231;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;agh9ifb2mw3ivjusgedj7c3fe;433;ebm098y98ctdw0zs1l1kvnt62;Hans-Dieter Flick;home;#990000;#000099;667;11;7;6;10;1;5;1;2;3;4;0;0;70.6;7;12;0;5;15;2;739;0;27;19;14;3;7;8;433;1
