league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;penGoalsConceded;penaltyConceded;penaltyFaced;penaltyWon;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;74mcjsm72vr3l9pw2i4qfjchj;442;5si50dq9be9264rxt7td0padx;Marcelino García Toral;home;#FFFF00;#000000;287;1;5;7;15;6;2;1;4;5;1;1;1;1;42.8;2;6;5;27;1;363;12;11;22;2;5;5;442
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;ba5e91hjacvma2sjvixn00pjo;3421;e6vbc7hgm4rz3o95vckqwx8fd;Carlos Corberán Vallet;away;#FF0000;0;420;3;4;16;6;7;1;2;5;3;1;1;1;1;57.2;3;2;5;21;2;491;8;18;19;4;4;15;3421
