league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;penaltyConceded;penaltyFaced;penaltySave;penaltyWon;possessionPercentage;saves;shotOffTarget;subsGoals;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;wonCorners;wonTackle;formationUsed;goalAssist;penGoalsConceded;totalYellowCard
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ah8dala7suqqkj04n2l8xz4zd;4231;dazth1gr1i3s9s13b8ry48atx;Manuel Luis Pellegrini Ripamonti;home;#ffffff;#258f42;394;5;3;15;13;8;2;1;5;2;1;1;1;1;53;3;7;1;4;24;2;469;14;14;16;3;11;4231;0;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ba5e91hjacvma2sjvixn00pjo;442;e6vbc7hgm4rz3o95vckqwx8fd;Carlos Corberán Vallet;away;#FF0000;0;332;4;5;13;15;7;1;2;3;4;1;1;0;1;47;0;7;0;5;16;1;405;15;16;13;5;9;442;1;1;4
