league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;fkFoulLost;fkFoulWon;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;secondYellow;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalRedCard;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonTackle;formationUsed;cornerTaken;goalAssist;saves;wonCorners
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;10eyb18v5puw4ez03ocaug09m;352;d5e7y68x8mfgki7ukvx7na0np;Matías Jesús Almeyda;home;#FFFFFF;0;122;1;16;10;12;1;1;3;2;25.5;1;1;6;39;2;197;2;4;13;14;3;10;352;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;4dtdjgnpdq9uw4sdutti0vaar;442;2kiaodquh4o2i5z2yotrbxivp;Eduardo Germán Coudet;home;#0033FF;#FFFFFF;493;4;13;16;1;1;1;0;1;74.5;0;7;4;20;1;569;0;12;7;26;0;3;442;3;1;1;3
