league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;penGoalsConceded;penaltyConceded;penaltyFaced;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;blockedScoringAtt;penaltyWon
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;clo928vcczjp0mczavs5o7p5k;4231;8kfldbd8rbvb27eywepajhivp;Jorge Guillermo Almada Álves;home;#0000FF;0;336;2;8;17;1;5;1;2;3;1;1;1;1;54.3;2;6;5;32;5;444;7;22;25;2;2;12;4231;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;3czravw89omgc9o4s0w3l1bg5;4231;dbdq6fyl44p43la2s5q9suehh;Ernesto Valverde Tejedor;home;#FF0000;#FFFFFF;271;3;20;6;1;9;2;1;2;4;0;0;0;45.7;0;5;5;29;1;362;13;20;24;3;3;14;4231;4;1
