league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;penaltyWon;possessionPercentage;shotOffTarget;subsMade;totalClearance;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;goalAssist;penGoalsConceded;penaltyConceded;penaltyFaced;saves;subsGoals;totalOffside
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;6f27yvbqcngegwsg2ozxxdj4;343;e2ntrys15j912zpqy0xb4lg45;Claudio Giráldez González;home;#99FFFF;#FFFFFF;504;5;7;9;13;5;1;2;3;4;1;57.2;9;5;23;559;18;13;13;2;7;8;343;0;0;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;4231;i48ozgngttqqy2su617b6mzt;Alessio Lisci;home;#FF0000;#000066;364;5;3;14;9;11;2;1;7;2;0;42.8;1;5;25;408;8;14;13;2;3;7;4231;2;1;1;1;3;1;2
