league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalKicks;goalsConceded;lostCorners;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;cleanSheet;goalAssist;goals;ontargetScoringAtt
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;ba5e91hjacvma2sjvixn00pjo;442;e6vbc7hgm4rz3o95vckqwx8fd;Carlos Corberán Vallet;home;#fdfcfc;#000000;283;2;5;10;13;6;2;8;39.9;4;5;5;33;1;359;7;18;21;1;5;12;442;0;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;3kq9cckrnlogidldtdie2fkbl;442;4nclyvzibmrs9tt903ccbythx;Álvaro Arbeloa Coca;away;#016fc1;0;495;1;8;13;8;7;0;5;60.1;0;4;4;27;3;558;11;17;16;1;8;12;442;1;2;2;6
