league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;penaltyWon;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;penGoalsConceded;penaltyConceded;penaltyFaced;subsGoals
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;1n1j0wsl763lq7ee1k0c11c02;532;28kjxeavcr2ptz1d53gc3qhh;Patricio Moreno Ruiz;home;#000099;0;187;1;3;21;17;1;9;2;1;4;2;1;43.5;1;2;4;31;1;267;5;30;22;2;3;16;532;0;0;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;74mcjsm72vr3l9pw2i4qfjchj;442;5si50dq9be9264rxt7td0padx;Marcelino García Toral;home;#FFFF00;#000000;269;2;4;17;20;0;4;1;2;3;2;0;56.5;0;4;4;27;2;358;8;14;33;3;4;5;442;1;1;1;1
