league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;penGoalsConceded;penaltyConceded;penaltyFaced;penaltyWon;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;totalRedCard
73;2526;2jiyipev8f7wvnf4rp16n8n4k;ath-elc;3czravw89omgc9o4s0w3l1bg5;4231;dbdq6fyl44p43la2s5q9suehh;Ernesto Valverde Tejedor;home;#FF0000;#FFFFFF;264;6;4;18;9;1;1;2;1;1;8;1;1;1;1;45.6;1;4;5;19;3;348;18;17;19;3;4;9;4231;0
73;2526;2jiyipev8f7wvnf4rp16n8n4k;ath-elc;4yg9ttzw0m51048doksv8uq5r;3142;2alwgmgcud4guwkmcnxbtpy7e;Eder Sarabia Armesto;home;#FFFFFF;#339966;338;0;1;9;18;0;8;1;2;4;2;1;1;1;1;54.4;6;0;5;30;2;440;2;21;27;3;1;10;3142;1
