league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cleanSheet;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;lostCorners;ontargetScoringAtt;penaltyWon;possessionPercentage;shotOffTarget;subsGoals;subsMade;totalClearance;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;goalsConceded;penGoalsConceded;penaltyConceded;penaltyFaced;saves
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;6f27yvbqcngegwsg2ozxxdj4;343;e2ntrys15j912zpqy0xb4lg45;Claudio Giráldez González;home;#99FFFF;#FFFFFF;450;6;1;7;11;10;1;4;2;2;7;1;57;7;2;5;20;522;20;12;18;1;7;8;343;0;0;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;50x1m4u58lffhq6v6ga1hbxmy;4231;f2i75nau3bjkt1i54farofmqd;Jagoba Arrasate Elustondo;third;#000000;#FF0000;315;0;0;2;10;10;0;10;0;7;0;0;43;1;0;5;24;392;1;12;21;5;2;5;4231;2;1;1;1;4
