league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cleanSheet;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsGoals;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;goalsConceded;secondYellow;totalRedCard
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4grc9qgcvusllap8h5j6gc5h5;4141;8529f9juq33g6w59a1jpddysq;Luís Manuel Ferreira de Castro;home;#003399;#C10B57;303;9;1;10;14;15;1;7;2;6;5;49;5;8;2;5;20;1;360;22;14;13;1;10;10;4141;0;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4dtdjgnpdq9uw4sdutti0vaar;442;2kiaodquh4o2i5z2yotrbxivp;Eduardo Germán Coudet;away;#FFFFFF;0;311;5;0;6;16;14;0;9;0;10;7;51;3;5;0;4;30;1;390;17;24;13;4;6;15;442;2;1;1
