league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cleanSheet;cornerTaken;fkFoulLost;fkFoulWon;goalKicks;goals;lostCorners;ontargetScoringAtt;penaltyWon;possessionPercentage;shotOffTarget;subsMade;totalClearance;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;goalsConceded;penGoalsConceded;penaltyConceded;penaltyFaced;totalOffside
73;2526;2mieos6z7lqo2pb9bsl6j0xsk;val-osa;ba5e91hjacvma2sjvixn00pjo;442;e6vbc7hgm4rz3o95vckqwx8fd;Carlos Corberán Vallet;home;#fdfcfc;#000000;293;5;1;5;14;13;8;1;4;1;1;47.5;8;5;21;370;14;15;14;2;5;9;442;0;0;0;0;0
73;2526;2mieos6z7lqo2pb9bsl6j0xsk;val-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;4231;i48ozgngttqqy2su617b6mzt;Alessio Lisci;away;#66CC00;0;328;3;0;4;13;13;11;0;5;0;0;52.5;5;5;17;402;8;11;14;4;4;6;4231;1;1;1;1;1
