league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalKicks;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;shotOffTarget;subsMade;totalClearance;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;cleanSheet;goals;saves;subsGoals;totalOffside
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;clo928vcczjp0mczavs5o7p5k;4231;8kfldbd8rbvb27eywepajhivp;Jorge Guillermo Almada Álves;home;#0000FF;0;278;2;8;12;6;9;1;3;6;37.7;8;5;22;358;16;24;20;2;8;13;4231;0;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;4ku8o6uf87yd8iecdalipo6wd;442;b50ny8f8cz813cd7t9kknif9x;Diego Pablo Simeone González;home;#FF0000;#FFFFFF;515;6;3;6;12;14;0;8;1;62.3;5;5;16;603;12;13;14;2;3;11;442;1;1;6;1;2
