league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;subsGoals;totalOffside
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;ah8dala7suqqkj04n2l8xz4zd;433;dazth1gr1i3s9s13b8ry48atx;Manuel Luis Pellegrini Ripamonti;home;#ffffff;#258f42;363;4;4;12;14;1;6;2;2;3;2;44.8;3;3;2;24;422;9;19;13;3;4;13;433;0;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;10eyb18v5puw4ez03ocaug09m;3421;1k0rhc28zdsi5rrwoq5k96h1x;Francisco Javier Martínez Rodríguez;home;#FFFFFF;0;463;5;3;15;10;2;4;2;2;4;6;55.2;0;3;5;13;527;14;17;21;3;3;13;3421;1;2
