league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;ownGoals
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;74mcjsm72vr3l9pw2i4qfjchj;442;5si50dq9be9264rxt7td0padx;Marcelino García Toral;home;#FFFF00;#000000;378;3;5;18;11;3;7;4;1;8;3;49;1;4;5;34;1;428;10;10;11;3;5;6;442;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;c8llrezkm3b3op4afrou6b487;4231;2e0sebn7a8mcnfa90kdn7ckb9;José Manuel González Álvarez;third;#345578;0;374;2;8;11;15;1;7;1;4;5;2;51;0;5;5;23;0;439;9;13;15;3;8;8;4231;1
