league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cleanSheet;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;goalsConceded
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;3budh3j9xivsid3ptm8ptpy4k;4141;26h5p70ffxotb1mv82ut6qx91;Iñigo Pérez Soto;home;#FFFFFF;#FF0000;286;3;1;4;10;13;2;5;3;8;9;41.1;3;1;5;38;3;354;13;12;15;1;4;5;4141;0
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;4ku8o6uf87yd8iecdalipo6wd;4141;b50ny8f8cz813cd7t9kknif9x;Diego Pablo Simeone González;away;#000099;0;413;4;0;8;13;10;0;5;0;4;3;58.9;6;2;5;23;0;486;9;11;27;3;8;6;4141;3
