league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;penaltyWon;possessionPercentage;saves;shotOffTarget;subsGoals;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;penGoalsConceded;penaltyConceded;penaltyFaced
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;2l0ldgiwsgb8d6y3z0sfgjzyj;4231;i48ozgngttqqy2su617b6mzt;Alessio Lisci;home;#FF0000;#000066;293;5;3;19;10;1;8;2;1;7;2;1;38.8;4;6;1;5;26;1;353;13;8;10;2;3;6;4231;0;0;0
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;3kq9cckrnlogidldtdie2fkbl;442;4nclyvzibmrs9tt903ccbythx;Álvaro Arbeloa Coca;home;#FFFFFF;0;511;5;7;10;17;1;4;1;2;3;5;0;61.2;1;5;0;4;16;2;570;15;13;14;4;7;10;442;1;1;1
