league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cleanSheet;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsGoals;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;goalsConceded
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;agh9ifb2mw3ivjusgedj7c3fe;4231;ebm098y98ctdw0zs1l1kvnt62;Hans-Dieter Flick;home;#990000;#000099;728;5;1;13;12;10;3;2;3;7;9;72.7;2;8;1;5;21;2;770;22;10;15;2;13;5;4231;0
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;4grc9qgcvusllap8h5j6gc5h5;4141;8529f9juq33g6w59a1jpddysq;Luís Manuel Ferreira de Castro;away;#FFFFFF;#0000CC;223;1;0;6;10;12;0;12;0;13;2;27.3;6;2;0;5;32;3;279;5;17;8;1;7;13;4141;3
