league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cleanSheet;cornerTaken;fkFoulLost;fkFoulWon;goalKicks;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;1n1j0wsl763lq7ee1k0c11c02;532;b13nybopqc740af2uybp1pdcl;José Bordalás Jiménez;home;#000099;0;256;1;1;5;16;12;5;3;2;38.5;1;6;5;22;5;327;9;13;16;1;5;6;532
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;6f27yvbqcngegwsg2ozxxdj4;3421;e2ntrys15j912zpqy0xb4lg45;Claudio Giráldez González;third;#F699AF;0;462;2;1;3;14;16;9;5;1;61.5;2;2;5;21;4;541;5;8;23;2;3;4;3421
