league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;penGoalsConceded;penaltyConceded;penaltyFaced;penaltyWon;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;3kq9cckrnlogidldtdie2fkbl;442;4nclyvzibmrs9tt903ccbythx;Álvaro Arbeloa Coca;home;#FFFFFF;0;533;3;4;10;8;2;10;4;1;6;5;1;1;1;2;51.8;2;3;5;8;5;585;11;14;9;1;4;7;442
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;4231;b3tuy4l2g97qd67kz5pu5rp3p;Pellegrino Matarazzo;third;#FF9900;0;488;5;6;9;10;0;3;1;4;4;3;2;2;2;1;48.2;0;5;4;10;1;534;13;13;15;1;6;8;4231
