league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;goalAssist
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3budh3j9xivsid3ptm8ptpy4k;4231;26h5p70ffxotb1mv82ut6qx91;Iñigo Pérez Soto;home;#FFFFFF;#FF0000;204;2;5;8;16;8;1;1;4;7;49.6;1;6;5;45;3;309;15;22;19;2;5;12;4231;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3czravw89omgc9o4s0w3l1bg5;4231;dbdq6fyl44p43la2s5q9suehh;Ernesto Valverde Tejedor;fourth;#f91537;#000000;199;4;4;17;8;7;1;1;5;2;50.4;6;2;5;26;0;301;8;17;28;3;4;10;4231;1
