league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsGoals;subsMade;totalClearance;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;63f5h8t5e9qm1fqmvfkb23ghh;4231;b3tuy4l2g97qd67kz5pu5rp3p;Pellegrino Matarazzo;home;#FFFFFF;#0000FF;423;4;7;13;15;2;7;3;3;6;8;62.2;3;3;2;5;25;502;15;15;26;2;7;10;4231
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;clo928vcczjp0mczavs5o7p5k;4231;8kfldbd8rbvb27eywepajhivp;Jorge Guillermo Almada Álves;fourth;#ffc9d9;0;226;4;6;16;12;2;6;3;3;7;6;37.8;5;4;0;5;24;302;14;27;13;1;6;16;4231
