league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;penaltyWon;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;penGoalsConceded;penaltyConceded;penaltyFaced;secondYellow;totalRedCard
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3kq9cckrnlogidldtdie2fkbl;442;4nclyvzibmrs9tt903ccbythx;Álvaro Arbeloa Coca;home;#FFFFFF;0;522;4;9;6;17;1;5;2;1;4;6;1;56.7;3;6;5;16;1;582;16;21;11;2;9;11;442;0;0;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3budh3j9xivsid3ptm8ptpy4k;4231;26h5p70ffxotb1mv82ut6qx91;Iñigo Pérez Soto;third;#000000;#DDAA35;390;3;4;18;6;1;12;1;2;9;4;0;43.3;4;4;5;28;1;443;11;23;14;6;4;15;4231;1;1;1;1;2
