league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;penaltyConceded;penaltyFaced;penaltySave;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;goalAssist;penaltyWon
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;10eyb18v5puw4ez03ocaug09m;532;d5e7y68x8mfgki7ukvx7na0np;Matías Jesús Almeyda;home;#FFFFFF;0;372;1;5;16;13;9;1;1;7;3;1;1;1;51.1;5;7;5;21;5;432;11;20;21;3;5;17;532;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;7h7eg7q7dbwvzww78h9d5eh0h;4231;jkox030vlb7xszen474w83px;Miguel Ángel Sánchez Muñoz;away;#FFFF00;0;353;4;7;13;15;8;1;1;5;6;0;0;0;48.9;2;5;5;28;0;421;15;19;12;3;7;15;4231;1;1
