league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalKicks;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;secondYellow;shotOffTarget;subsMade;totalClearance;totalPass;totalRedCard;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;cleanSheet;goalAssist;goals;saves;subsGoals;totalOffside
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;4grc9qgcvusllap8h5j6gc5h5;4231;8529f9juq33g6w59a1jpddysq;Luís Manuel Ferreira de Castro;home;#003399;#C10B57;314;1;3;11;10;6;2;2;1;46.9;1;7;5;12;384;1;9;16;25;1;3;9;4231;0;0;0;0;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;ba5e91hjacvma2sjvixn00pjo;442;e6vbc7hgm4rz3o95vckqwx8fd;Carlos Corberán Vallet;home;#fdfcfc;#000000;373;1;2;10;9;8;0;3;2;53.1;0;2;5;40;442;0;5;19;14;2;2;13;442;1;2;2;1;1;3
