league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;4dtdjgnpdq9uw4sdutti0vaar;442;2kiaodquh4o2i5z2yotrbxivp;Eduardo Germán Coudet;home;#0033FF;#FFFFFF;337;3;7;18;5;2;4;2;2;6;6;44.3;3;8;4;18;1;414;17;20;17;2;7;12;442
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;7h7eg7q7dbwvzww78h9d5eh0h;451;jkox030vlb7xszen474w83px;Miguel Ángel Sánchez Muñoz;away;#FFFF00;0;459;4;6;6;17;2;11;2;2;7;5;55.7;4;1;5;24;0;542;10;18;21;2;6;15;451
