league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalKicks;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalPass;totalRedCard;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;cleanSheet;goalAssist;goals;secondYellow;totalOffside
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;3kq9cckrnlogidldtdie2fkbl;4231;4nclyvzibmrs9tt903ccbythx;Álvaro Arbeloa Coca;home;#FFFFFF;0;606;4;10;11;16;7;1;2;7;77.2;2;7;5;24;675;1;18;13;23;4;10;6;4231;0;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;1n1j0wsl763lq7ee1k0c11c02;541;b13nybopqc740af2uybp1pdcl;José Bordalás Jiménez;home;#000099;0;128;4;2;17;10;11;0;10;3;22.8;7;2;3;45;200;1;9;21;18;4;2;12;541;1;1;1;1;1
