league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;goalAssist;totalOffside
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;ah8dala7suqqkj04n2l8xz4zd;433;dazth1gr1i3s9s13b8ry48atx;Manuel Luis Pellegrini Ripamonti;home;#ffffff;#258f42;353;5;3;14;12;9;1;1;5;3;46.9;2;6;5;18;411;14;17;15;4;3;11;433;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;3budh3j9xivsid3ptm8ptpy4k;4231;26h5p70ffxotb1mv82ut6qx91;Iñigo Pérez Soto;home;#FFFFFF;#FF0000;399;5;5;13;14;9;1;1;3;3;53.1;2;4;5;19;465;12;14;16;3;5;7;4231;1;4
