league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;penaltyWon;possessionPercentage;saves;shotOffTarget;subsGoals;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;penGoalsConceded;penaltyConceded;penaltyFaced
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;50x1m4u58lffhq6v6ga1hbxmy;4231;f2i75nau3bjkt1i54farofmqd;Jagoba Arrasate Elustondo;home;#FF0000;#000000;188;3;4;16;7;2;8;4;1;8;6;1;33.1;4;2;1;5;45;1;268;11;14;20;1;4;5;4231;0;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;10eyb18v5puw4ez03ocaug09m;532;d5e7y68x8mfgki7ukvx7na0np;Matías Jesús Almeyda;home;#FFFFFF;0;473;8;8;8;15;1;4;1;4;4;5;0;66.9;2;2;0;4;17;5;558;15;16;23;1;8;7;532;1;1;1
