league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalKicks;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;cleanSheet;goalAssist;goals
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;4grc9qgcvusllap8h5j6gc5h5;433;8529f9juq33g6w59a1jpddysq;Luís Manuel Ferreira de Castro;home;#003399;#C10B57;405;6;3;13;19;10;1;2;4;59.3;4;6;5;26;3;485;16;16;22;3;3;9;433;0;0;0
73;2526;1jlhapyjldhvatexkb19ja6fo;lev-vil;74mcjsm72vr3l9pw2i4qfjchj;442;5si50dq9be9264rxt7td0padx;Marcelino García Toral;home;#FFFF00;#000000;275;2;2;20;13;8;0;3;6;40.7;4;7;5;50;1;345;15;22;11;4;2;10;442;1;1;1
