league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;shotOffTarget;subsMade;totalClearance;totalPass;totalScoringAtt;totalTackle;totalThrows;wonCorners;wonTackle;formationUsed;saves;subsGoals;totalOffside;totalYellowCard
73;2526;2jwf7cpzm72lrajndbtk03das;atm-esp;4ku8o6uf87yd8iecdalipo6wd;442;b50ny8f8cz813cd7t9kknif9x;Diego Pablo Simeone González;home;#FF0000;#FFFFFF;571;3;5;8;8;4;4;4;2;3;9;61.1;6;5;27;662;18;10;19;5;7;442;0;0;0;0
73;2526;2jwf7cpzm72lrajndbtk03das;atm-esp;c8llrezkm3b3op4afrou6b487;541;2e0sebn7a8mcnfa90kdn7ckb9;José Manuel González Álvarez;home;#FFFFFF;#0066FF;324;3;3;10;7;0;8;2;4;5;2;38.9;3;5;31;415;8;10;14;3;7;541;4;1;2;1
