league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cornerTaken;fkFoulLost;fkFoulWon;goalKicks;goalsConceded;lostCorners;ontargetScoringAtt;possessionPercentage;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalRedCard;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;cleanSheet;goalAssist;goals;saves
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;1n1j0wsl763lq7ee1k0c11c02;532;b13nybopqc740af2uybp1pdcl;José Bordalás Jiménez;home;#000099;0;132;2;2;5;18;7;1;2;3;30.8;1;4;19;3;225;1;6;14;23;1;2;12;532;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;10eyb18v5puw4ez03ocaug09m;532;1k0rhc28zdsi5rrwoq5k96h1x;Francisco Javier Martínez Rodríguez;away;#FF0000;0;447;1;2;18;5;6;0;2;1;69.2;4;5;34;4;534;0;6;11;17;1;2;9;532;1;1;1;3
