league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;cornerTaken;fkFoulLost;fkFoulWon;goalKicks;goalsConceded;lostCorners;ontargetScoringAtt;penGoalsConceded;penaltyConceded;penaltyFaced;possessionPercentage;saves;shotOffTarget;subsMade;totalClearance;totalOffside;totalPass;totalScoringAtt;totalTackle;totalThrows;totalYellowCard;wonCorners;wonTackle;formationUsed;blockedScoringAtt;cleanSheet;goalAssist;goals;penaltyWon
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;4dtdjgnpdq9uw4sdutti0vaar;442;2kiaodquh4o2i5z2yotrbxivp;Eduardo Germán Coudet;home;#0033FF;#FFFFFF;315;6;20;19;10;2;3;5;1;1;1;59.8;3;8;5;22;3;404;13;17;26;2;6;11;442;0;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;1n1j0wsl763lq7ee1k0c11c02;532;b13nybopqc740af2uybp1pdcl;José Bordalás Jiménez;away;#d91926;0;180;3;20;20;10;0;6;5;0;0;0;40.2;5;6;4;27;2;274;17;28;22;4;3;10;532;6;1;1;2;1
