league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cleanSheet;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsGoals;subsMade;totalClearance;totalPass;totalScoringAtt;totalTackle;totalThrows;wonCorners;wonTackle;formationUsed;goalsConceded;totalOffside
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;agh9ifb2mw3ivjusgedj7c3fe;433;ebm098y98ctdw0zs1l1kvnt62;Hans-Dieter Flick;home;#990000;#000099;705;11;1;12;7;9;3;4;3;3;7;76.3;4;6;1;5;15;774;24;15;19;12;11;433;0;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;50x1m4u58lffhq6v6ga1hbxmy;4231;f2i75nau3bjkt1i54farofmqd;Jagoba Arrasate Elustondo;away;#FFFFFF;#000000;165;2;0;3;9;7;0;9;0;12;4;23.7;4;3;0;5;39;235;9;24;16;3;15;4231;3;3
